MONTH,AIRCRAFT FLOWN - DEPARTURES (IN NUMBER),AIRCRAFT FLOWN - HOURS (IN NUMBER),AIRCRAFT FLOWN - KILOMETRE (IN THOUSAND),PASSENGERS CARRIED (IN NUMBER),PASSENGER KMS.PERFORMED (IN THOUSAND),AVAILABLE SEAT KILOMETRE (IN THOUSAND),PAX.LOAD FACTOR# (IN %),CARGO CARRIED - FREIGHT (IN TONNE),CARGO CARRIED - MAIL (IN TONNE),CARGO CARRIED - TOTAL (IN TONNE),TONNE KILOMETRE PERFORMED - PASSENGER (IN THOUSAND),TONNE KILOMETRE PERFORMED - FREIGHT (IN THOUSAND),TONNE KILOMETRE PERFORMED - MAIL (IN THOUSAND),TONNE KILOMETRE PERFORMED - TOTAL (IN THOUSAND),AVAILABLE TONNE KILOMETRE (IN THOUSAND),WEIGHT LOAD FACTOR## (IN %)
JAN,1027,1858,747,53021,24534,35955,68.2,6,3,9,2232,4,2,2238,3332,67.2
FEB,1005,1847,725,51519,24357,34926,69.7,6,3,9,2216,4,2,2222,3231,68.8
MAR,1156,2049,876,56487,25526,37669,67.8,6,3,9,2322,4,2,2328,3488,66.7
APR,1209,2185,926,63087,29013,40168,72.2,6,6,12,2640,4,2,2646,3712,71.3
MAY,1309,2304,1029,71136,31326,41937,74.7,6,3,9,2850,4,2,2856,3876,73.7
JUNE,1264,2275,984,72723,31357,41320,75.9,6,3,9,2853,4,2,2859,3829,74.7
JULY,1441,2633,1171,83846,36923,48294,76.5,6,3,9,3361,4,2,3367,4473,75.3
AUG,1441,2724,1171,88714,39270,50689,77.5,6,3,9,3576,4,2,3582,4722,75.9
SEP,1730,3076,1450,105919,46396,58892,78.8,6,3,9,4224,4,2,4230,5472,77.3
OCT,1989,3563,1709,120496,53781,70539,76.2,6,3,9,4894,4,2,4900,6554,74.8
NOV,2033,3621,1753,124946,55943,71586,78.1,6,3,9,5092,4,2,5098,6653,76.6
DEC,2095,3952,1784,141201,63542,77274,82.2,7,2,9,5168,5,2,5175,6653,77.8
TOTAL,17699,32087,14325,1033095,461968,609249,75.8,73,38,111,41428,49,24,41501,55995,74.1
