MONTH,AIRCRAFT FLOWN - DEPARTURES (IN NUMBER),AIRCRAFT FLOWN - HOURS (IN NUMBER),AIRCRAFT FLOWN - KILOMETRE (IN THOUSAND),PASSENGERS CARRIED (IN NUMBER),PASSENGER KMS.PERFORMED (IN THOUSAND),AVAILABLE SEAT KILOMETRE (IN THOUSAND),PAX.LOAD FACTOR# (IN %),CARGO CARRIED - FREIGHT (IN TONNE),CARGO CARRIED - MAIL (IN TONNE),CARGO CARRIED - TOTAL (IN TONNE),TONNE KILOMETRE PERFORMED - PASSENGER (IN THOUSAND),TONNE KILOMETRE PERFORMED - FREIGHT (IN THOUSAND),TONNE KILOMETRE PERFORMED - MAIL (IN THOUSAND),TONNE KILOMETRE PERFORMED - TOTAL (IN THOUSAND),AVAILABLE TONNE KILOMETRE (IN THOUSAND),WEIGHT LOAD FACTOR## (IN %)
JAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUNE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JULY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEC,37,36,12,252,85,213,39.6,0,0,0,19.4,0,0,19.4,NA,NA
TOTAL,37,36,12,252,85,213,39.6,0,0,0,19.4,0,0,19.4,NA,NA
