MONTH,AIRCRAFT FLOWN - DEPARTURES (IN NUMBER),AIRCRAFT FLOWN - HOURS (IN NUMBER),AIRCRAFT FLOWN - KILOMETRE (IN THOUSAND),PASSENGERS CARRIED (IN NUMBER),PASSENGER KMS.PERFORMED (IN THOUSAND),AVAILABLE SEAT KILOMETRE (IN THOUSAND),PAX.LOAD FACTOR# (IN %),CARGO CARRIED - FREIGHT (IN TONNE),CARGO CARRIED - MAIL (IN TONNE),CARGO CARRIED - TOTAL (IN TONNE),TONNE KILOMETRE PERFORMED - PASSENGER (IN THOUSAND),TONNE KILOMETRE PERFORMED - FREIGHT (IN THOUSAND),TONNE KILOMETRE PERFORMED - MAIL (IN THOUSAND),TONNE KILOMETRE PERFORMED - TOTAL (IN THOUSAND),AVAILABLE TONNE KILOMETRE (IN THOUSAND),WEIGHT LOAD FACTOR## (IN %)
JAN,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
FEB,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
MAR,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
APR,2,3,1,360,257,257,100,0,0,0,23,0,0,23,26,88.5
MAY,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
JUNE,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
JULY,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
AUG,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
SEP,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
OCT,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
NOV,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
DEC,2,4,2,360,320,320,100,0,0,0,29,0,0,29,33,87.9
TOTAL,4,7,3,720,577,577,100,0,0,0,52,0,0,52,59,88.1
