MONTH,AIRCRAFT FLOWN - DEPARTURES (IN NUMBER),AIRCRAFT FLOWN - HOURS (IN NUMBER),AIRCRAFT FLOWN - KILOMETRE (IN THOUSAND),PASSENGERS CARRIED (IN NUMBER),PASSENGER KMS.PERFORMED (IN THOUSAND),AVAILABLE SEAT KILOMETRE (IN THOUSAND),PAX.LOAD FACTOR# (IN %),CARGO CARRIED - FREIGHT (IN TONNE),CARGO CARRIED - MAIL (IN TONNE),CARGO CARRIED - TOTAL (IN TONNE),TONNE KILOMETRE PERFORMED - PASSENGER (IN THOUSAND),TONNE KILOMETRE PERFORMED - FREIGHT (IN THOUSAND),TONNE KILOMETRE PERFORMED - MAIL (IN THOUSAND),TONNE KILOMETRE PERFORMED - TOTAL (IN THOUSAND),AVAILABLE TONNE KILOMETRE (IN THOUSAND),WEIGHT LOAD FACTOR## (IN %)
JAN,4945,8960,4577,788337,735410,809836,90.8,4346,0,4346,66187,4489,0,70676,86726,81.5
FEB,4673,8316,4258,749352,685872,754470,90.9,4189,0,4189,61728,4343,0,66071,80689,81.9
MAR,5392,9549,4937,802114,741179,874330,84.8,5729,0,5729,66706,5963,0,72669,93550,77.7
APR,5005,8906,4556,739401,683452,807242,84.7,5008,0,5008,61511,5145,0,66656,86329,77.2
MAY,5334,9593,4960,863570,817288,879250,93,5105,0,5105,73556,5427,0,78983,93990,84
JUNE,5155,9400,4843,805483,767968,858717,89.4,4831,0,4831,69117,5165,0,74282,91773,80.9
JULY,5113,9370,4816,741855,703764,853098,82.5,0,0,0,63339,0,0,63339,91263,69.4
AUG,5187,9511,4951,775836,747563,875273,85.4,0,0,0,67281,0,0,67281,93824,71.7
SEP,5165,9426,4945,808539,774630,874904,88.5,0,0,0,69717,0,0,69717,93701,74.4
OCT,5930,10982,5708,924189,888031,1013393,87.6,0,0,0,79923,0,0,79923,108166,73.9
NOV,5819,10877,5499,933709,879987,977879,90,0,0,0,79199,0,0,79199,104208,76
DEC,6601,12454,6277,1080481,1029625,1119124,92,0,0,0,92666,0,0,92666,118943,77.9
TOTAL,64319,117345,60327,10012866,9454769,10697516,88.4,29208,0,29208,850930,30532,0,881462,1143162,77.1
