MONTH,AIRCRAFT FLOWN - DEPARTURES (IN NUMBER),AIRCRAFT FLOWN - HOURS (IN NUMBER),AIRCRAFT FLOWN - KILOMETRE (IN THOUSAND),PASSENGERS CARRIED (IN NUMBER),PASSENGER KMS.PERFORMED (IN THOUSAND),AVAILABLE SEAT KILOMETRE (IN THOUSAND),PAX.LOAD FACTOR# (IN %),CARGO CARRIED - FREIGHT (IN TONNE),CARGO CARRIED - MAIL (IN TONNE),CARGO CARRIED - TOTAL (IN TONNE),TONNE KILOMETRE PERFORMED - PASSENGER (IN THOUSAND),TONNE KILOMETRE PERFORMED - FREIGHT (IN THOUSAND),TONNE KILOMETRE PERFORMED - MAIL (IN THOUSAND),TONNE KILOMETRE PERFORMED - TOTAL (IN THOUSAND),AVAILABLE TONNE KILOMETRE (IN THOUSAND),WEIGHT LOAD FACTOR## (IN %)
JAN,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
FEB,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
MAR,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
APR,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
MAY,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
JUNE,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
JULY,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
AUG,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
SEP,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
OCT,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
NOV,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
DEC,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
TOTAL,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
