MONTH,AIRCRAFT FLOWN - DEPARTURES (IN NUMBER),AIRCRAFT FLOWN - HOURS (IN NUMBER),AIRCRAFT FLOWN - KILOMETRE (IN THOUSAND),PASSENGERS CARRIED (IN NUMBER),PASSENGER KMS.PERFORMED (IN THOUSAND),AVAILABLE SEAT KILOMETRE (IN THOUSAND),PAX.LOAD FACTOR# (IN %),CARGO CARRIED - FREIGHT (IN TONNE),CARGO CARRIED - MAIL (IN TONNE),CARGO CARRIED - TOTAL (IN TONNE),TONNE KILOMETRE PERFORMED - PASSENGER (IN THOUSAND),TONNE KILOMETRE PERFORMED - FREIGHT (IN THOUSAND),TONNE KILOMETRE PERFORMED - MAIL (IN THOUSAND),TONNE KILOMETRE PERFORMED - TOTAL (IN THOUSAND),AVAILABLE TONNE KILOMETRE (IN THOUSAND),WEIGHT LOAD FACTOR## (IN %)
JAN,1240,4403,2821,192621,440579,507870,86.8,1136,0,1136,39652.2,2758,0,42410.2,57666.1,73.5
FEB,1120,3970,2548,168026,380110,458724,82.9,1145,0,1145,34210,2738,0,36948,51367.3,71.9
MAR,1338,4785,3090,201253,461799,556121,83,1382,0,1382,41562,3330,0,44892,61701,72.8
APR,1423,5060,3330,221082,519552,599436,86.7,1645,0,1645,46760,3974,0,50734,64369,78.8
MAY,1595,5722,3753,244806,578747,675606,85.7,1862,0,1862,52087,4572,0,56659,73296,77.3
JUNE,1561,5559,3676,222572,521809,661647,78.9,1874,0,1874,46963,4636,0,51599,77252,66.8
JULY,1722,6225,4143,263785,632180,745816,84.8,1837,0,1837,56896,4699,0,61595,79873,77.1
AUG,1710,6177,4114,265080,638324,740281,86.2,1935,0,1935,57449,4815,0,62264,78131,79.7
SEP,1740,6355,4241,247737,598782,763165,78.5,1703,0,1703,53890,4251,0,58141,85589,67.9
OCT,1796,6555,4378,258591,627131,787992,79.6,1806.1,0,1806.1,56442,4533.6,0,60975.6,85144.3,71.6
NOV,1739,6391,4239,250392,605791,763048,79.4,1722,0,1722,54521,4235,0,58756,85177,69
DEC,1855,6919,4548,290120,711282,818425,86.9,1752,0,1752,64016,4348,0,68364,93902,72.8
TOTAL,18839,68121,44882,2826065,6716086,8078131,83.1,19799.1,0,19799.1,604448.2,48889.7,0,653337.9,893467.6,73.1
