MONTH,AIRCRAFT FLOWN - DEPARTURES (IN NUMBER),AIRCRAFT FLOWN - HOURS (IN NUMBER),AIRCRAFT FLOWN - KILOMETRE (IN THOUSAND),PASSENGERS CARRIED (IN NUMBER),PASSENGER KMS.PERFORMED (IN THOUSAND),AVAILABLE SEAT KILOMETRE (IN THOUSAND),PAX.LOAD FACTOR# (IN %),CARGO CARRIED - FREIGHT (IN TONNE),CARGO CARRIED - MAIL (IN TONNE),CARGO CARRIED - TOTAL (IN TONNE),TONNE KILOMETRE PERFORMED - PASSENGER (IN THOUSAND),TONNE KILOMETRE PERFORMED - FREIGHT (IN THOUSAND),TONNE KILOMETRE PERFORMED - MAIL (IN THOUSAND),TONNE KILOMETRE PERFORMED - TOTAL (IN THOUSAND),AVAILABLE TONNE KILOMETRE (IN THOUSAND),WEIGHT LOAD FACTOR## (IN %)
JAN,2,7,5,166,414,839,49.3,0,0,0,17.2,0,0,17.2,25.8,66.7
FEB,1,4,3,101,266,442,60.2,0,0,0,23,0,0,23,42,54.8
MAR,1,1,1,163,58,60,96.7,0,0,0,5,0,0,5,7,71.4
APR,4,12,8,618,1194,1298,92,0,0,0,77,0,0,77,148,52
MAY,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
JUNE,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
JULY,4,1,8,585,1130,1298,87.1,5,0,5,86,11,0,97,131,74
AUG,2,12,12,467,2781,3257,85.4,4,0,4,236,24,0,260,318,81.8
SEP,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
OCT,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
NOV,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
DEC,16,4,33,2578,5329,5555,95.9,18,0,18,452,36,0,488,573,85.2
TOTAL,30,41,70,4678,11172,12749,87.6,27,0,27,896.2,71,0,967.2,1244.8,77.7
