MONTH,AIRCRAFT FLOWN - DEPARTURES (IN NUMBER),AIRCRAFT FLOWN - HOURS (IN NUMBER),AIRCRAFT FLOWN - KILOMETRE (IN THOUSAND),PASSENGERS CARRIED (IN NUMBER),PASSENGER KMS.PERFORMED (IN THOUSAND),AVAILABLE SEAT KILOMETRE (IN THOUSAND),PAX.LOAD FACTOR# (IN %),CARGO CARRIED - FREIGHT (IN TONNE),CARGO CARRIED - MAIL (IN TONNE),CARGO CARRIED - TOTAL (IN TONNE),TONNE KILOMETRE PERFORMED - PASSENGER (IN THOUSAND),TONNE KILOMETRE PERFORMED - FREIGHT (IN THOUSAND),TONNE KILOMETRE PERFORMED - MAIL (IN THOUSAND),TONNE KILOMETRE PERFORMED - TOTAL (IN THOUSAND),AVAILABLE TONNE KILOMETRE (IN THOUSAND),WEIGHT LOAD FACTOR## (IN %)
JAN,4657,19590,13368,786144,2592027,3027100,85.6,13319,64,13383,213326,61081,314,274721,409770,67
FEB,3801,16148,10995,632635,2125944,2570934,82.7,13299,63,13362,177398,61151,372,238921,353935,67.5
MAR,4192,17707,12107,667415,2215857,2841589,78,16581,70,16651,184507,75331,429,260267,396516,65.6
APR,4172,17476,12044,662210,2212034,2816703,78.5,15610,91,15701,183147,69480,541,253168,390283,64.9
MAY,4097,17196,11833,696427,2313678,2804751,82.5,16222,114,16336,191293,73753,668,265714,397457,66.9
JUNE,4135,17334,11977,655048,2273822,2789897,81.5,16034,108,16142,186995,72877,627,260499,389992,66.8
JULY,4258,17839,12352,704946,2378291,2875769,82.7,15353,99,15452,195268,70495,588,266351,394923,67.4
AUG,4285,17818,12364,726886,2419347,2878589,84,15708,171.4,15879.4,198946,72090,983,272019,400636,67.9
SEP,4128,17218,11900,651328,2193451,2763565,79.4,14861,248,15109,181813,69573,1420,252806,381843,66.2
OCT,4041,17058,11745,665384,2251215,2772256,81.2,15862,261,16123,187236,75321,1492,264049,390062,67.7
NOV,4282,19189,13195,694857,2476984,3059580,81,17016,236.6,17252.6,207159,87283,1323,295765,421594,70.2
DEC,4672,20963,14267,806340,2855503,3303475,86.4,16942,163.8,17105.8,235659,86795,967,323421,450971,71.7
TOTAL,50720,215536,148147,8349620,28308153,34504208,82,186807,1689.9,188496.9,2342747,875230,9724,3227701,4777982,67.6
