MONTH,AIRCRAFT FLOWN - DEPARTURES (IN NUMBER),AIRCRAFT FLOWN - HOURS (IN NUMBER),AIRCRAFT FLOWN - KILOMETRE (IN THOUSAND),PASSENGERS CARRIED (IN NUMBER),PASSENGER KMS.PERFORMED (IN THOUSAND),AVAILABLE SEAT KILOMETRE (IN THOUSAND),PAX.LOAD FACTOR# (IN %),CARGO CARRIED - FREIGHT (IN TONNE),CARGO CARRIED - MAIL (IN TONNE),CARGO CARRIED - TOTAL (IN TONNE),TONNE KILOMETRE PERFORMED - PASSENGER (IN THOUSAND),TONNE KILOMETRE PERFORMED - FREIGHT (IN THOUSAND),TONNE KILOMETRE PERFORMED - MAIL (IN THOUSAND),TONNE KILOMETRE PERFORMED - TOTAL (IN THOUSAND),AVAILABLE TONNE KILOMETRE (IN THOUSAND),WEIGHT LOAD FACTOR## (IN %)
JAN,1907,3068,1512,239705,202121,236542,85.4,1075,153,1228,16831,1064,132,18027,22871,78.8
FEB,1706,2765,1340,214665,178586,210369,84.9,1053,148,1201,14984,1074,127,16185,20569,78.7
MAR,1975,3148,1535,230359,190197,240267,79.2,1252,167,1419,15898,1245,141,17284,23929,72.2
APR,1811,2860,1366,222476,180706,216901,83.3,1149,148,1297,15040,1122,122,16284,21721,75
MAY,2018,3219,1555,246048,204140,242176,84.3,1288,151,1439,16947,1269,135,18351,24399,75.2
JUNE,1800,2939,1419,217672,182852,220740,82.8,1258,130,1388,15230,1258,114,16602,21993,75.5
JULY,1926,3134,1501,224811,188990,234208,80.7,1435,129,1564,15833,1427,114,17374,23138,75.1
AUG,1949,3136,1520,236394,196109,236937,82.8,1638,148,1786,16446,1626,127,18199,23648,77
SEP,1835,2935,1433,221236,185557,222675,83.3,1649,175,1824,15579,1645,153,17377,22525,77.1
OCT,1794,2999,1520,213497,194506,236818,82.1,1348,124,1472,16255,1402,110,17767,23845,74.5
NOV,1845,3008,1413,240703,195528,218344,89.6,1430,190,1620,16228,1270,149,17647,21566,81.8
DEC,1955,3123,1451,255811,200908,225568,89.1,1345,180.3,1525.3,16645,1154,140,17939,22309,80.4
TOTAL,22521,36334,17565,2763377,2300200,2741545,83.9,15920,1843.3,17763.3,191916,15556,1564,209036,272513,76.7
