YEAR,INTERNATIONAL  ACM (IN NOS),DOMESTIC ACM (IN NOS),TOTAL ACM (IN NOS),INTERNATIONAL PAX (IN NOS),DOMESTIC PAX (IN NOS),TOTAL PAX (IN NOS),INTERNATIONAL FREIGHT (IN MT),DOMESTIC FREIGHT (IN MT),TOTAL FREIGHT (IN MT)
1995-96,92515,314727,407242,11449756,25563998,37013754,452853,196516,649369
1996-97,94884,324462,419346,12223660,24276108,36499768,479088,202122,681210
1997-98,98226,317531,415757,12782769,23848833,36631602,488175,217405,705580
1998-99,99563,325392,424955,12916788,24072631,36989419,474660,224490,699150
1999-00,99701,368015,467716,13293027,25741521,39034548,531844,265570,797414
2000-01,103211,386575,489786,14009052,28017568,42026620,557772,288373,846145
2001-02,107823,402108,509931,13624712,26358627,39983339,560226,294050,854276
2002-03,116442,444208,560650,14825799,28897525,43723324,646137,333222,979359
2003-04,136193,505196,641389,16641449,32138162,48779611,693223,375080,1068303
2004-05,163274,554323,717597,19424457,39859343,59283800,823608,454864,1278472
2005-06,190876,647341,838217,22367399,50974218,73341617,920149,477153,1397302
2006-07,215569,862024,1077593,25778027,70624999,96403026,1021263,529643,1550906
2007-08,248538,1059091,1307629,29818150,87067597,116885747,1146745,568233,1714978
2008-09,270345,1036187,1306532,31584001,77294731,108878732,1149923,552062,1701985
2009-10,282204,1048688,1330892,34367929,89387504,123755433,1270712,690900,1961612
2010-11,300197,1093565,1393762,37907547,105522726,143430273,1496239,852197,2348436
2011-12,309286,1235360,1544646,40796403,121506718,162303121,1467896,812091,2279987
2012-13,313909,1164902,1478811,43033830,116367526,159401356,1406334,784215,2190549
