MONTH,AIRCRAFT FLOWN - DEPARTURES (IN NUMBER),AIRCRAFT FLOWN - HOURS (IN NUMBER),AIRCRAFT FLOWN - KILOMETRE (IN THOUSAND),PASSENGERS CARRIED (IN NUMBER),PASSENGER KMS.PERFORMED (IN THOUSAND),AVAILABLE SEAT KILOMETRE (IN THOUSAND),PAX.LOAD FACTOR# (IN %),CARGO CARRIED - FREIGHT (IN TONNE),CARGO CARRIED - MAIL (IN TONNE),CARGO CARRIED - TOTAL (IN TONNE),TONNE KILOMETRE PERFORMED - PASSENGER (IN THOUSAND),TONNE KILOMETRE PERFORMED - FREIGHT (IN THOUSAND),TONNE KILOMETRE PERFORMED - MAIL (IN THOUSAND),TONNE KILOMETRE PERFORMED - TOTAL (IN THOUSAND),AVAILABLE TONNE KILOMETRE (IN THOUSAND),WEIGHT LOAD FACTOR## (IN %)
JAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JUNE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JULY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOV,3,4,3,447,407,430,94.7,0,0,0,30,0,0,30,40,75
DEC,2,4,3,287,498,548,90.9,0,0,0,37,0,0,37,52,71.2
TOTAL,5,8,6,734,905,978,92.5,0,0,0,67,0,0,67,92,72.8
