MONTH,AIRCRAFT FLOWN - DEPARTURES (IN NUMBER),AIRCRAFT FLOWN - HOURS (IN NUMBER),AIRCRAFT FLOWN - KILOMETRE (IN THOUSAND),PASSENGERS CARRIED (IN NUMBER),PASSENGER KMS.PERFORMED (IN THOUSAND),AVAILABLE SEAT KILOMETRE (IN THOUSAND),PAX.LOAD FACTOR# (IN %),CARGO CARRIED - FREIGHT (IN TONNE),CARGO CARRIED - MAIL (IN TONNE),CARGO CARRIED - TOTAL (IN TONNE),TONNE KILOMETRE PERFORMED - PASSENGER (IN THOUSAND),TONNE KILOMETRE PERFORMED - FREIGHT (IN THOUSAND),TONNE KILOMETRE PERFORMED - MAIL (IN THOUSAND),TONNE KILOMETRE PERFORMED - TOTAL (IN THOUSAND),AVAILABLE TONNE KILOMETRE (IN THOUSAND),WEIGHT LOAD FACTOR## (IN %)
JAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEB,36,49,32,1141,907,1545,58.7,0,0,0,249.6,0,0,249.6,1467.4,17
MAR,100,127,81,2452,2976,3991,74.6,0,0,0,873.4,0,0,873.4,6113.8,14.3
APR,120,143,79,2669,3078,3863,79.7,0,0,0,499,0,0,499,7215,6.9
MAY,116,132,76,2573,2990,3734,80.1,0,0,0,499,0,0,499,7093,7
JUNE,116,132,77,2399,2784,3780,73.6,0,0,0,1108.8,0,0,1108.8,8151,13.6
JULY,45,55,30,813,929,1473,63.1,0,0,0,1109,0,0,1109,2744,40.4
AUG,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA
SEP,52,65,40,1056,1067,1948,54.8,0,0,0,540,0,0,540,3440,15.7
OCT,114,148,87,3098,2966,4270,69.5,0,0,0,540,0,0,540,7541,7.2
NOV,120,159,92,3623,3527,4495,78.5,0,0,0,540,0,0,540,7938,6.8
DEC,124,172,95,3798,3663,4645,78.9,0,0,0,540,0,0,540,8202,6.6
TOTAL,943,1183,689,23622,24887,33744,73.8,0,0,0,6499,0,0,6498.8,59905,10.8
