"State","City/Town/Village/Area","Count","Address","lon","lat","text"
"Andhra Pradesh","Ananthapur",324,"Ananthapur, Andhra Pradesh",77.6005911,14.6818877,"anantapur, andhra pradesh, india"
"Andhra Pradesh","Chittoor",888,"Chittoor, Andhra Pradesh",79.1003289,13.217176,"chittoor, andhra pradesh, india"
"Andhra Pradesh","Eluru",300,"Eluru, Andhra Pradesh",81.0952431,16.7106604,"eluru, andhra pradesh, india"
"Andhra Pradesh","Guntur",629,"Guntur, Andhra Pradesh",80.4365402,16.3066525,NA
"Andhra Pradesh","Kadapa",316,"Kadapa, Andhra Pradesh",78.8241339,14.4673541,NA
"Andhra Pradesh","Kakinada",288,"Kakinada, Andhra Pradesh",82.2474648,16.9890648,NA
"Andhra Pradesh","Kurnool",857,"Kurnool, Andhra Pradesh",78.0372792,15.8281257,NA
"Andhra Pradesh","Nellore",408,"Nellore, Andhra Pradesh",79.986456,14.4425987,NA
"Andhra Pradesh","Nizamabad",27,"Nizamabad, Andhra Pradesh",78.0940867,18.6725047,NA
"Andhra Pradesh","Ongole",317,"Ongole, Andhra Pradesh",80.049922,15.5057232,NA
"Andhra Pradesh","Rajahmundry",311,"Rajahmundry, Andhra Pradesh",81.8040345,17.0005383,NA
"Andhra Pradesh","Srikakulam",315,"Srikakulam, Andhra Pradesh",83.8967813,18.2969747,NA
"Andhra Pradesh","Tirupati",922,"Tirupati, Andhra Pradesh",79.4191795,13.6287557,NA
"Andhra Pradesh","Vijayawada",1799,"Vijayawada, Andhra Pradesh",80.6480153,16.5061743,NA
"Andhra Pradesh","Visakhapatnam",3455,"Visakhapatnam, Andhra Pradesh",83.2184815,17.6868159,NA
"Andhra Pradesh","Vizianagaram",282,"Vizianagaram, Andhra Pradesh",83.3955506,18.1066576,NA
"Arunachal Pradesh","Itanagar",45,"Itanagar, Arunachal Pradesh",93.6053163,27.0843682,NA
"Arunachal Pradesh","Naharlagun",45,"Naharlagun, Arunachal Pradesh",93.6948869,27.0985774,NA
"Assam","Bongaigaon",1649,"Bongaigaon, Assam",90.5352356,26.5009992,NA
"Assam","Daranga",399,"Daranga, Assam",91.514481,26.785101,NA
"Assam","Dibrugarh",790,"Dibrugarh, Assam",94.9119621,27.4728327,NA
"Assam","Golaghat",707,"Golaghat, Assam",93.962337,26.5238515,NA
"Assam","Guwahati",2894,"Guwahati, Assam",91.7362365,26.1445169,NA
"Assam","Hailakandi",231,"Hailakandi, Assam",92.5792482,24.4548506,NA
"Assam","Lakhimpur",503,"Lakhimpur, Assam",94.1513764,27.2063587,NA
"Assam","Margherita",426,"Margherita, Assam",95.6694606,27.2910662,NA
"Assam","Nagaon",451,"Nagaon, Assam",92.6840426,26.3463713,NA
"Assam","Nalbari",489,"Nalbari, Assam",91.4410527,26.4446185,NA
"Assam","Sibsagar",240,"Sibsagar, Assam",94.6424521,26.9826098,NA
"Assam","Silchar",905,"Silchar, Assam",92.7789054,24.8332708,NA
"Assam","Sivasagar",708,"Sivasagar, Assam",94.6424521,26.9826098,NA
"Assam","Tezpur",839,"Tezpur, Assam",92.7925592,26.6528495,NA
"Assam","Tinsukia",643,"Tinsukia, Assam",95.346775,27.4921909,NA
"Bihar","Patna",1548,"Patna, Bihar",85.1375645,25.5940947,NA
"Chandigarh","Chandigarh",5425,"Chandigarh, Chandigarh",76.7794179,30.7333148,NA
"Chhattisgarh","Bhilai",3006,"Bhilai, Chhattisgarh",81.3509416,21.1938475,NA
"Chhattisgarh","Bilaspur",240,"Bilaspur, Chhattisgarh",82.1391412,22.0796251,NA
"Chhattisgarh","Korba",3276,"Korba, Chhattisgarh",82.7500595,22.3594501,NA
"Chhattisgarh","Raipur",1607,"Raipur, Chhattisgarh",81.6296413,21.2513844,NA
"Dadra and Nagar Haveli","Daman",30,"Daman, Dadra and Nagar Haveli",72.987946,20.272209,NA
"Dadra and Nagar Haveli","Khadoli",309,"Khadoli, Dadra and Nagar Haveli",73.029579,20.165586,NA
"Dadra and Nagar Haveli","Silvassa",294,"Silvassa, Dadra and Nagar Haveli",73.0083061,20.2762659,NA
"Daman and Diu","Daman",410,"Daman, Daman and Diu",72.8327991,20.3973736,NA
"Daman and Diu","Daman Diu & Nagar",121,"Daman Diu & Nagar, Daman and Diu",72.8397317,20.428283,NA
"Delhi","Delhi",5100,"Delhi, Delhi",77.1024902,28.7040592,NA
"Goa","Amona",299,"Amona, Goa",73.977126,15.5329311,NA
"Goa","Assanora",298,"Assanora, Goa",73.8977693,15.6208378,NA
