Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
232,January - M011996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,21.8,79.1,NA,332
233,January - M011996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,20.8,57.2,NA,179
234,January - M011996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,37.7,62.9,NA,304
95,January - M011996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,23.9,29.8,NA,266
202,January - M011996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,17.5,77.6,NA,NA
203,January - M011996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,39.2,47.6,NA,201
151,January - M011996,Andhra Pradesh,Hyderabad,NA,Industrial Area,8.4,10.4,NA,52
152,January - M011996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",24.5,36,NA,161
150,January - M011996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",9.5,14.9,NA,100
232,February - M021996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,24.2,47,NA,259
233,February - M021996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,18,50.8,NA,173
234,February - M021996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,24.2,47,NA,259
95,February - M021996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,15.9,26.3,NA,NA
202,February - M021996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,5.2,13.4,NA,NA
203,February - M021996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,31.4,18.2,NA,NA
151,February - M021996,Andhra Pradesh,Hyderabad,NA,Industrial Area,11.9,7.2,NA,50
152,February - M021996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",17,43.2,NA,233
150,February - M021996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.4,21.1,NA,139
232,March - M031996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,32.9,53.8,NA,236
233,March - M031996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,21.6,40.2,NA,185
234,March - M031996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,23.4,46.9,NA,215
95,March - M031996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,21.2,30.5,NA,NA
203,March - M031996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,14.5,39.3,NA,NA
151,March - M031996,Andhra Pradesh,Hyderabad,NA,Industrial Area,11.1,10.8,NA,110
152,March - M031996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",15,44.2,NA,280
150,March - M031996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",13,19.3,NA,174
232,April - M041996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,17.9,42.3,NA,217
233,April - M041996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,23.6,32.3,NA,143
234,April - M041996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,16.5,29.7,NA,214
95,April - M041996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,11.4,36.1,NA,NA
202,April - M041996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,8.5,8.5,NA,NA
203,April - M041996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,12.2,29.6,NA,NA
151,April - M041996,Andhra Pradesh,Hyderabad,NA,Industrial Area,11.9,8.7,NA,50
152,April - M041996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",11.9,40.5,NA,237
150,April - M041996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.3,10.8,NA,130
232,May - M051996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,23.2,41,NA,202
233,May - M051996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,22.5,38.7,NA,150
234,May - M051996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,22.4,40.4,NA,164
95,May - M051996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,30.7,21.2,NA,NA
203,May - M051996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,28.8,69.4,NA,NA
151,May - M051996,Andhra Pradesh,Hyderabad,NA,Industrial Area,17.3,14.6,NA,109
152,May - M051996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",19,22.2,NA,232
150,May - M051996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",12.3,15.5,NA,260
232,June - M061996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,15.6,45.6,NA,238
