Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,31.7,105,311
1/4/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,35,163,399
1/8/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,30.3,154,368
1/10/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,27.2,137,355
14/1/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.8,24.7,94,225
21/1/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,32.2,75,325
22/1/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,27.7,88,373
23/1/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.6,31.3,83,357
28/1/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,31.2,106,315
29/1/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,30.9,92,357
2/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,35,102,340
2/4/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,35,98,341
2/8/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,34.6,89,353
16/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,27.3,125,330
18/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,30,99,272
20/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,27.5,93,290
22/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,30.3,115,340
24/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,29.2,114,332
28/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,31.3,115,327
3/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,32.4,51,252
3/4/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,33.5,137,345
3/8/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,31.6,110,351
3/10/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,39.7,190,410
14/3/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,37.1,159,382
16/3/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,32.9,79,289
20/3/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.6,34.7,97,284
22/3/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,34.7,61,204
26/3/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.8,34.3,66,192
4/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,34,114,358
4/4/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,34.9,94,273
4/8/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,35,96,263
4/10/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.6,33.1,109,313
14/4/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,33.3,107,306
20/4/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,33.1,103,299
22/4/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,35.9,109,329
24/4/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,34.9,104,301
26/4/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,35.2,101,275
5/4/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,34.8,113,322
5/8/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,34.8,113,325
5/10/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,34.8,116,323
5/12/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,35.5,123,355
14/5/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,32.6,140,424
16/5/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.7,34.2,132,364
22/5/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,33,65,216
26/5/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,32.8,114,323
6/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,33,67,280
6/4/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,34.2,60,171
6/8/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,34.3,100,293
6/10/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,36.9,63,272
14/6/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,33.3,122,360
16/6/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,34.2,105,300
20/6/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,33.2,107,312
22/6/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,31.9,117,337
26/6/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.7,36.2,105,304
7/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,34.9,122,351
7/4/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,34.8,95,273
7/8/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,35.5,104,307
7/10/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,34.3,115,322
16/7/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,34.2,113,346
20/7/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,34,104,302
22/7/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,34.8,110,311
24/7/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,34.5,42,135
26/7/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,34.3,121,353
8/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,33.3,113,327
8/8/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,33.2,97,271
8/10/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,32.7,93,255
8/12/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,33.8,97,272
14/8/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,34,98,289
16/8/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,34.5,97,277
20/8/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,34.2,102,312
22/8/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,33.2,106,315
26/8/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,34.3,106,299
9/2/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,34.8,101,288
9/4/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,34.6,97,275
9/10/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,33.2,95,271
9/12/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,31.6,95,265
14/9/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,34.6,88,255
16/9/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,28.8,94,273
20/9/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,31.1,76,222
22/9/2008,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,33.3,102,293
