Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
583,1/2/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,75,NA
583,1/4/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,74,NA
583,1/9/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,72,NA
583,1/11/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,72,NA
583,16/01/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,11,77,NA
583,18/01/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,11,75,NA
583,23/01/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,76,NA
583,25/01/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,73,NA
583,30/01/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,73,NA
583,31/01/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,77,NA
583,2/6/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,76,NA
583,2/8/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,74,NA
583,13/02/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,77,NA
583,15/02/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,21/02/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,78,NA
583,22/02/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,77,NA
583,27/02/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,76,NA
583,29/02/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,76,NA
583,3/5/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,78,NA
583,3/7/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,3/12/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,14/03/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,73,NA
583,19/03/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,77,NA
583,21/03/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,76,NA
583,26/03/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,28/03/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,79,NA
583,4/2/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,78,NA
583,4/4/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,4/9/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,77,NA
583,4/11/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,78,NA
583,16/04/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,18/04/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,23/04/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,77,NA
583,25/04/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,74,NA
583,5/1/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,5/2/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,78,NA
583,5/7/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,74,NA
583,5/9/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,77,NA
583,14/05/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,76,NA
583,16/05/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,74,NA
583,21/05/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,73,NA
583,23/05/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,28/05/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,74,NA
583,30/05/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,6/4/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,74,NA
583,6/6/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,6/11/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,76,NA
583,13/06/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,77,NA
583,18/06/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,71,NA
583,20/06/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,72,NA
583,25/06/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,73,NA
583,27/06/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,74,NA
583,7/2/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,73,NA
583,7/4/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,71,NA
583,7/7/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,7/10/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,77,NA
583,15/07/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,74,NA
583,20/07/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,71,NA
583,23/07/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,76,NA
583,26/07/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,77,NA
583,28/07/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,76,NA
583,8/2/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,76,NA
583,8/4/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,77,NA
583,8/7/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,73,NA
583,8/12/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,76,NA
583,17/08/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,74,NA
583,20/08/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,21/08/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,76,NA
583,23/08/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,76,NA
583,25/08/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,11,75,NA
583,30/08/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,11,73,NA
583,9/3/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,11,76,NA
583,9/5/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,75,NA
583,9/9/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,75,NA
583,9/11/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,77,NA
583,15/09/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,74,NA
583,18/09/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,74,NA
583,24/09/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,10,75,NA
583,27/09/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,73,NA
583,10/3/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,11,73,NA
583,10/5/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,11,74,NA
583,10/8/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,73,NA
583,10/11/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,11,75,NA
583,15/10/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,11,76,NA
583,18/10/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,11,73,NA
583,21/10/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,11,75,NA
583,25/10/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,10,74,NA
583,27/10/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,10,73,NA
583,11/5/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,14,74,NA
583,11/8/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,14,75,NA
583,11/12/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,13,77,NA
583,14/11/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,13,74,NA
583,18/11/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,14,75,NA
583,21/11/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,15,73,NA
583,24/11/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,14,77,NA
583,27/11/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,13,76,NA
583,12/3/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,15,75,NA
583,12/6/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,15,77,NA
583,12/11/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,16,76,NA
583,15/12/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,17,73,NA
583,18/12/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,16,77,NA
583,21/12/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,17,76,NA
583,23/12/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,18,78,NA
583,26/12/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,19,73,NA
583,28/12/2012,Andhra Pradesh,Guntur,"Near Hindu College, Market Road, Guntur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,20,75,NA
95,1/2/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,4,26,102,NA
95,1/5/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,22,104,NA
95,1/8/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,24,92,NA
95,1/11/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,28,112,NA
95,13/01/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,38,177,NA
95,19/01/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,4,34,153,NA
95,21/01/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,39,135,NA
95,24/01/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,4,34,136,NA
95,30/01/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,28,128,NA
95,2/2/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,4,40,176,NA
95,2/6/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,24,130,NA
95,2/8/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,42,88,NA
95,2/12/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,25,124,NA
95,17/02/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,34,107,NA
95,21/02/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,42,220,NA
95,23/02/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,29,188,NA
95,25/02/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,26,188,NA
95,27/02/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,26,188,NA
95,3/2/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,26,195,NA
95,3/6/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,39,161,NA
95,3/10/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,35,212,NA
95,3/12/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,20,126,NA
95,17/03/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,4,23,135,NA
95,21/03/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,35,178,NA
95,24/03/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,37,191,NA
95,26/03/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,45,168,NA
95,29/03/2012,Andhra Pradesh,Hyderabad,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",Andhra Pradesh State Pollution Control Board,Industrial Area,5,32,126,NA
