"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
787,18-07-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,250,NA
787,24-07-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,61,NA
787,08-05-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,2,NA
787,08-12-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,35,NA
787,19-08-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,26,NA
787,10-07-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,53,NA
787,16-10-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,30,NA
787,23-10-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,105,NA
787,11-10-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,77,NA
787,17-11-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,60,NA
787,24-11-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,87,NA
787,12-09-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,94,NA
787,16-12-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,66,NA
787,23-12-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,90,NA
787,30-12-14,Arunachal Pradesh,Itanagar,Compound of PCCF's Office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,83,NA
788,17-07-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,86,NA
788,25-07-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,43,NA
788,08-05-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,41,NA
788,08-12-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,32,NA
788,19-08-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,51,NA
788,10-07-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,81,NA
788,16-10-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,31,NA
788,23-10-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,51,NA
788,11-10-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,55,NA
788,17-11-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,47,NA
788,24-11-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,5,44,NA
788,12-09-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,88,NA
788,16-12-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,65,NA
788,23-12-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,135,NA
788,30-12-14,Arunachal Pradesh,Naharlagun,Compound of APSPCB office building,Arunachal Pradesh State Pollution Control Board,"Residential, Rural and other Areas",NA,NA,113,NA
