Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
193,January - M011993,Assam,Guwahati,ASPB,NA,15,147.9,NA,NA
217,January - M011993,Assam,Guwahati,ASPB,NA,12.4,91.4,NA,NA
194,January - M011993,Assam,Guwahati,ASPB,NA,2.9,47.7,NA,NA
242,January - M011993,Assam,Guwahati,ASPB,NA,0.4,4.4,NA,NA
218,January - M011993,Assam,Guwahati,ASPB,NA,0.5,9.8,NA,NA
193,February - M021993,Assam,Guwahati,ASPB,NA,31,123.2,NA,NA
217,February - M021993,Assam,Guwahati,ASPB,NA,17.4,66.7,NA,NA
194,February - M021993,Assam,Guwahati,ASPB,NA,3.4,56.1,NA,NA
242,February - M021993,Assam,Guwahati,ASPB,NA,0.5,5.3,NA,NA
218,February - M021993,Assam,Guwahati,ASPB,NA,0.8,9.5,NA,NA
217,March - M031993,Assam,Guwahati,ASPB,NA,16.5,45.2,NA,NA
194,March - M031993,Assam,Guwahati,ASPB,NA,2.8,42.2,NA,NA
242,March - M031993,Assam,Guwahati,ASPB,NA,0.5,4.6,NA,NA
218,March - M031993,Assam,Guwahati,ASPB,NA,1.2,9.6,NA,NA
217,April - M041993,Assam,Guwahati,ASPB,NA,8.7,48.2,NA,NA
193,April - M041993,Assam,Guwahati,ASPB,NA,17.4,43.9,NA,NA
218,April - M041993,Assam,Guwahati,ASPB,NA,0.7,8.9,NA,NA
217,May - M051993,Assam,Guwahati,ASPB,NA,3.8,38.6,NA,NA
193,May - M051993,Assam,Guwahati,ASPB,NA,9.2,9.5,NA,NA
218,May - M051993,Assam,Guwahati,ASPB,NA,0.4,9.5,NA,NA
217,June - M061993,Assam,Guwahati,ASPB,NA,7.8,49.9,NA,NA
193,June - M061993,Assam,Guwahati,ASPB,NA,7.8,36.2,NA,NA
218,June - M061993,Assam,Guwahati,ASPB,NA,0.5,9.2,NA,NA
193,July - M071993,Assam,Guwahati,ASPB,NA,3.2,22.9,NA,NA
217,July - M071993,Assam,Guwahati,ASPB,NA,4.2,69.7,NA,NA
218,July - M071993,Assam,Guwahati,ASPB,NA,0.4,7.1,NA,NA
193,August - M081993,Assam,Guwahati,ASPB,NA,5,17.5,NA,NA
217,August - M081993,Assam,Guwahati,ASPB,NA,3.5,52.6,NA,NA
218,August - M081993,Assam,Guwahati,ASPB,NA,0.5,8,NA,NA
242,August - M081993,Assam,Guwahati,ASPB,NA,0.5,5.6,NA,NA
193,September - M091993,Assam,Guwahati,ASPB,NA,6.6,20.6,NA,NA
217,September - M091993,Assam,Guwahati,ASPB,NA,7.1,53.2,NA,NA
218,September - M091993,Assam,Guwahati,ASPB,NA,0.5,8.4,NA,64
242,September - M091993,Assam,Guwahati,ASPB,NA,0.5,5.4,NA,NA
193,October - M101993,Assam,Guwahati,ASPB,NA,15.7,46.1,NA,330
217,October - M101993,Assam,Guwahati,ASPB,NA,6.1,43.4,NA,141
218,November - M111993,Assam,Guwahati,ASPB,NA,0.4,7.7,NA,NA
242,November - M111993,Assam,Guwahati,ASPB,NA,0.5,2.8,NA,NA
193,November - M111993,Assam,Guwahati,ASPB,NA,17.1,61.9,NA,193
217,November - M111993,Assam,Guwahati,ASPB,NA,8.5,37.5,NA,469
218,December - M121993,Assam,Guwahati,ASPB,NA,0.4,5.6,NA,NA
242,December - M121993,Assam,Guwahati,ASPB,NA,0.5,3,NA,11
193,December - M121993,Assam,Guwahati,ASPB,NA,12.2,97.9,NA,287
217,December - M121993,Assam,Guwahati,ASPB,NA,11.1,64.6,NA,274
