Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
193,January - M012002,Assam,Guwahati,ASPB,NA,3.5,22.5,NA,247
193,February - M022002,Assam,Guwahati,ASPB,NA,3.8,20.7,NA,261
193,March - M032002,Assam,Guwahati,ASPB,NA,4.1,20.5,NA,276
193,April - M042002,Assam,Guwahati,ASPB,NA,3,16.5,NA,159
193,May - M052002,Assam,Guwahati,ASPB,NA,3.1,17.5,NA,192
193,June - M062002,Assam,Guwahati,ASPB,NA,2.7,17.7,NA,104
193,July - M072002,Assam,Guwahati,ASPB,NA,2.8,17.5,NA,109
193,August - M082002,Assam,Guwahati,ASPB,NA,2.8,17,NA,109
193,September - M092002,Assam,Guwahati,ASPB,NA,2.7,17.1,NA,113
193,October - M102002,Assam,Guwahati,ASPB,NA,3,18.5,NA,150
193,November - M112002,Assam,Guwahati,ASPB,NA,2.9,18.8,NA,133
193,December - M122002,Assam,Guwahati,ASPB,NA,3.3,20.1,NA,173
193,Annual - M132002,Assam,Guwahati,ASPB,NA,3.2,18.7,NA,172
