Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/2/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.8,12,129,171
1/5/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.3,11.3,109,133
1/9/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4,8.1,119,132
1/12/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.7,9.5,166,181
16-01-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.5,8.3,104,127
20-01-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,NA,5.3,105,155
22-01-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3,8.1,52,96
25-01-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3,8.3,69,119
29-01-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,NA,7.8,45,80
2/3/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.3,11.2,20,40
2/5/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.7,9.3,27,48
2/6/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4,12,74,212
2/8/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.3,9.7,25,40
2/12/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.8,7.9,39,60
26-02-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.8,7.7,32,52
3/1/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.5,7.7,67,90
3/5/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.8,6.3,60,93
3/9/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.6,7.9,56,113
13-03-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.6,11,74,114
16-03-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.6,12.2,49,180
21-03-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.6,11.5,33,64
23-03-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.5,8.5,65,97
26-03-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.8,7.7,59,168
29-03-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.6,9.8,89,174
4/5/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.7,14.1,39,86
4/7/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.5,10.8,36,59
4/9/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.8,11.3,43,81
4/12/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.8,13.7,58,99
17-04-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.2,10.3,65,142
20-04-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.2,10.7,46,105
23-04-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.2,7.2,39,108
26-04-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.8,8.3,62,84
5/3/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,NA,10.8,85,157
5/5/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.8,10,39,60
5/8/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,8.8,34,93
5/11/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.8,7.5,38,66
15-05-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.3,9.5,38,83
18-05-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.8,10.8,42,103
22-05-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.8,8.8,51,83
25-05-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.5,9.7,28,57
29-05-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.7,10,72,99
6/2/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.8,12.5,43,72
6/8/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.8,8.1,35,59
6/12/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.7,11.4,36,67
15-06-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.5,8.6,46,81
19-06-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.2,11.8,24,54
22-06-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.2,8.9,16,35
26-06-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.8,9.7,14,32
29-06-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.2,9.4,12,23
7/3/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.2,8.6,10,31
7/7/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.7,10,21,37
7/10/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.3,NA,19,32
13-07-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.5,6.5,17,29
17-07-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.7,7.4,18,43
20-07-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.3,6.5,26,43
24-07-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.7,7.3,21,36
27-07-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.7,6.7,41,61
8/2/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.3,7.6,31,57
8/7/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3,10.1,32,62
8/10/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.5,9.8,25,48
16-08-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.3,10.8,26,49
18-08-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.8,9.7,41,78
21-08-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.8,6.3,23,44
24-08-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.8,9.3,37,70
28-08-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.2,7.8,49,69
31-08-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.3,10.1,23,41
9/4/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.2,7.8,30,56
9/7/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.7,6.3,23,42
9/11/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.2,6,34,56
14-09-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.3,8.8,28,48
19-09-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.7,8.7,26,44
21-09-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.5,10,44,79
25-09-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3,7.3,33,60
28-09-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.2,9.8,48,91
10/3/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.7,9.3,31,63
10/6/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.7,9.7,30,70
10/9/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.3,12.2,45,79
10/12/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4,10,31,67
23-10-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.2,9.3,47,75
26-10-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.7,9.7,45,76
29-10-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.8,8.4,42,75
11/1/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4,9.7,63,106
11/8/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.3,9.3,44,77
11/9/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,9.7,14.3,39,79
13-11-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.3,8.7,60,103
16-11-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.5,10.2,56,90
20-11-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.7,10.9,64,102
23-11-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.3,10.3,61,104
26-11-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.5,9.8,91,118
30-11-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.5,8.9,90,141
12/4/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5,9.4,44,86
12/7/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.5,10.5,48,89
12/11/2007,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.5,NA,53,88
14-12-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,NA,NA,79,122
18-12-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3,7.3,55,92
20-12-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.3,7.3,52,85
24-12-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3,7.3,78,132
28-12-07,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.8,9.4,58,112
19-01-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.5,11.6,156,281
23-01-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,13,102,219
27-01-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,12.3,84,158
30-01-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,12.5,106,255
2/2/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,13.3,77,154
2/9/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,7.5,29,60
13-02-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,8.3,51,85
17-02-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,7.3,28,59
20-02-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.8,7.8,34,55
23-02-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,NA,70,101
27-02-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,5.9,47,68
3/2/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.7,8.2,46,72
3/6/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,10.3,71,127
3/10/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,13.5,68,159
3/12/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.2,12,97,179
15-03-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,11.5,96,267
19-03-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,8.7,10.8,71,192
22-03-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.5,9.6,95,218
27-03-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,15.2,76,222
30-03-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.7,12.2,112,295
4/3/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,12.8,90,234
4/6/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.3,9.9,77,234
4/10/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.3,11.5,39,134
13-04-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,13,48,104
18-04-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,9.4,32,87
21-04-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,10,32,77
24-04-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,12.5,46,101
27-04-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,11.5,58,119
5/2/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,14.5,64,118
5/4/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.3,13,61,101
5/9/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.8,10.8,50,80
5/12/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,NA,NA,33,87
16-05-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,9.4,21,44
19-05-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,13.3,22,48
21-05-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,11.8,45,76
24-05-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,7.5,14,75,99
30-05-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,12,34,51
6/1/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.8,12.5,41,61
6/7/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.3,12,33,58
6/11/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5,15.3,36,55
14-06-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,2.8,9.4,36,58
20-06-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,11.5,33,46
23-06-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.5,13.8,23,31
25-06-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,4,9.6,17,23
28-06-07,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,6.1,32,43
7/2/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,5.5,12,19,38
7/6/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,4.8,13.5,15,24
7/9/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.8,10.8,19,27
7/12/2007,Assam,Bongaigaon,Campus of Oil India,Residential and others,3.3,7.3,16,29
