Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
520,1/4/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,19,63,NA
520,1/6/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",10,18,64,NA
520,1/11/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,18,56,NA
520,13-01-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,17,68,NA
520,18-01-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,16,75,NA
520,20-01-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,15,85,NA
520,25-01-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,49,NA
520,28-01-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,61,NA
520,2/1/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,17,78,NA
520,2/3/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,17,59,NA
520,2/8/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,15,95,NA
520,2/10/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,16,136,NA
520,15-02-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,17,164,NA
520,17-02-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,14,90,NA
520,22-02-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,17,192,NA
520,24-02-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",9,15,170,NA
520,3/1/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,18,126,NA
520,3/3/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,17,64,NA
520,3/8/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,18,118,NA
520,3/10/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,18,100,NA
520,15-03-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,20,77,NA
520,17-03-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,18,151,NA
520,22-03-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,17,119,NA
520,24-03-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,14,97,NA
520,29-03-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,16,86,NA
520,31-03-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",5,13,39,NA
520,4/5/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",4,13,79,NA
520,4/7/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,14,65,NA
520,4/12/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",5,13,64,NA
520,14-04-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",4,14,39,NA
520,19-04-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",4,12,16,NA
520,21-04-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,14,36,NA
520,26-04-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",5,14,31,NA
520,28-04-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",5,14,60,NA
520,5/3/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,12,33,NA
520,5/3/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,17,27,NA
520,5/10/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,17,NA
520,5/12/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,12,17,NA
520,17-05-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,14,27,NA
520,19-05-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",5,13,20,NA
520,24-05-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",5,13,10,NA
520,26-05-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,14,13,NA
520,31-05-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,18,NA
520,6/2/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",3,5,23,NA
520,6/7/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,14,26,NA
520,6/9/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,22,NA
520,14-06-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,18,NA
520,16-06-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,16,27,NA
520,21-06-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,13,34,NA
520,23-06-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,72,NA
520,28-06-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,15,20,NA
520,30-06-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,91,NA
520,7/5/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,31,NA
520,7/7/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,17,32,NA
520,7/12/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,14,29,NA
520,14-07-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,19,26,NA
520,19-07-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,16,25,NA
520,21-07-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,13,NA
520,26-07-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,18,25,NA
520,28-07-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,9,NA
520,8/2/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,16,34,NA
520,8/4/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",5,13,22,NA
520,8/9/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,21,NA
520,8/11/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,14,26,NA
520,16-08-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,31,NA
520,18-08-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,25,NA
520,23-08-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,26,NA
520,25-08-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,16,24,NA
520,30-08-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,17,34,NA
520,9/2/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,13,19,NA
520,9/6/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,17,31,NA
520,9/8/2010,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,18,41,NA
520,13-09-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,18,42,NA
520,15-09-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",6,17,47,NA
520,20-09-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,29,NA
520,23-09-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",7,15,45,NA
520,27-09-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",10,18,45,NA
520,29-09-10,Assam,Bongaigaon,"Barpara Office Building, Bongaigaon",Assam State Pollution Control Board,"Residential, Rural and other Areas",8,17,44,NA
