Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
210,January - M011996,Bihar,Patna,Bihar Pollution Control Board,NA,10.2,20.1,NA,205
44,January - M011996,Bihar,Dhanbad,Bihar Pollution Control Board,"Residential, Rural and other Areas",41,72.1,NA,293
45,January - M011996,Bihar,Jharia,Bihar Pollution Control Board,Industrial Area,43,59.3,NA,500
46,January - M011996,Bihar,Sindri,Bihar Pollution Control Board,Industrial Area,40,64,NA,361
284,January - M011996,Bihar,Patna,Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",43.1,46.5,NA,918
172,January - M011996,Bihar,Jamshedpur,NA,Industrial Area,64.3,11,NA,134
44,February - M021996,Bihar,Dhanbad,Bihar Pollution Control Board,"Residential, Rural and other Areas",39.3,60.4,NA,237
45,February - M021996,Bihar,Jharia,Bihar Pollution Control Board,Industrial Area,47.3,64.3,NA,497
46,February - M021996,Bihar,Sindri,Bihar Pollution Control Board,Industrial Area,46.4,75.8,NA,389
210,February - M021996,Bihar,Patna,Bihar Pollution Control Board,NA,11.3,17.7,NA,147
284,February - M021996,Bihar,Patna,Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",30.1,37.3,NA,1111
172,February - M021996,Bihar,Jamshedpur,NA,Industrial Area,63.4,10.9,NA,127
44,March - M031996,Bihar,Dhanbad,Bihar Pollution Control Board,"Residential, Rural and other Areas",42.1,46.2,NA,328
45,March - M031996,Bihar,Jharia,Bihar Pollution Control Board,Industrial Area,45.6,49.3,NA,658
46,March - M031996,Bihar,Sindri,Bihar Pollution Control Board,Industrial Area,45.3,57.2,NA,339
210,March - M031996,Bihar,Patna,Bihar Pollution Control Board,NA,9.4,22.2,NA,321
284,March - M031996,Bihar,Patna,Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",26.6,39.6,NA,964
172,March - M031996,Bihar,Jamshedpur,NA,Industrial Area,59.1,10.4,NA,131
44,April - M041996,Bihar,Dhanbad,Bihar Pollution Control Board,"Residential, Rural and other Areas",40.6,45.2,NA,419
45,April - M041996,Bihar,Jharia,Bihar Pollution Control Board,Industrial Area,53.1,61.6,NA,1013
46,April - M041996,Bihar,Sindri,Bihar Pollution Control Board,Industrial Area,42.4,49.6,NA,363
284,April - M041996,Bihar,Patna,Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",63.4,40.2,NA,1153
210,April - M041996,Bihar,Patna,Bihar Pollution Control Board,NA,10.1,16.9,NA,156
172,April - M041996,Bihar,Jamshedpur,NA,Industrial Area,60.8,11,NA,148
44,May - M051996,Bihar,Dhanbad,Bihar Pollution Control Board,"Residential, Rural and other Areas",34.6,44.9,NA,368
45,May - M051996,Bihar,Jharia,Bihar Pollution Control Board,Industrial Area,40.6,61.3,NA,498
46,May - M051996,Bihar,Sindri,Bihar Pollution Control Board,Industrial Area,43.3,63,NA,415
172,May - M051996,Bihar,Jamshedpur,NA,Industrial Area,67.3,10.5,NA,158
44,June - M061996,Bihar,Dhanbad,Bihar Pollution Control Board,"Residential, Rural and other Areas",29.4,43.2,NA,129
45,June - M061996,Bihar,Jharia,Bihar Pollution Control Board,Industrial Area,35,41.6,NA,405
46,June - M061996,Bihar,Sindri,Bihar Pollution Control Board,Industrial Area,43.8,48.4,NA,201
45,July - M071996,Bihar,Jharia,Bihar Pollution Control Board,Industrial Area,37.6,55.6,NA,237
44,July - M071996,Bihar,Dhanbad,Bihar Pollution Control Board,"Residential, Rural and other Areas",43,51.2,NA,131
