Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/3/2006,Bihar,Patna,Beltron Bhawan,Residential and others,9.2,22.6,87,219
1/5/2006,Bihar,Patna,Beltron Bhawan,Residential and others,8.8,24.9,83,213
1/7/2006,Bihar,Patna,Beltron Bhawan,Residential and others,9.4,23.9,86,219
1/10/2006,Bihar,Patna,Beltron Bhawan,Residential and others,10.4,23.3,84,235
1/12/2006,Bihar,Patna,Beltron Bhawan,Residential and others,10.3,29.6,88,225
14/1/2006,Bihar,Patna,Beltron Bhawan,Residential and others,10.3,22.4,94,234
17/1/2006,Bihar,Patna,Beltron Bhawan,Residential and others,10.1,28.6,84,217
19/1/2006,Bihar,Patna,Beltron Bhawan,Residential and others,9.8,26.8,57,204
21/1/2006,Bihar,Patna,Beltron Bhawan,Residential and others,9.3,26.1,100,247
24/1/2006,Bihar,Patna,Beltron Bhawan,Residential and others,8.7,23.2,90,251
28/1/2006,Bihar,Patna,Beltron Bhawan,Residential and others,9.9,31.7,81,222
31/1/2006,Bihar,Patna,Beltron Bhawan,Residential and others,24.3,27.3,74,193
2/2/2006,Bihar,Patna,Beltron Bhawan,Residential and others,9.7,22.8,92,240
2/4/2006,Bihar,Patna,Beltron Bhawan,Residential and others,7,29.2,85,207
2/7/2006,Bihar,Patna,Beltron Bhawan,Residential and others,7.4,21.5,90,222
2/11/2006,Bihar,Patna,Beltron Bhawan,Residential and others,8,29.7,95,234
14/2/2006,Bihar,Patna,Beltron Bhawan,Residential and others,9.5,28,105,259
16/2/2006,Bihar,Patna,Beltron Bhawan,Residential and others,8.5,24.4,103,251
18/2/2006,Bihar,Patna,Beltron Bhawan,Residential and others,9.8,23.7,93,261
21/2/2006,Bihar,Patna,Beltron Bhawan,Residential and others,10.3,22.4,96,254
23/2/2006,Bihar,Patna,Beltron Bhawan,Residential and others,9.6,28.2,88,227
25/2/2006,Bihar,Patna,Beltron Bhawan,Residential and others,9.6,22.6,84,241
28/2/2006,Bihar,Patna,Beltron Bhawan,Residential and others,8.9,25.6,92,235
3/2/2006,Bihar,Patna,Beltron Bhawan,Residential and others,10.3,24.1,101,267
