Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
210,1/1/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",4,30,186,NA
210,1/4/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",3,29,150,NA
210,1/6/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,28,125,NA
210,1/8/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",4,12,130,NA
210,1/11/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",6,57,107,NA
210,13-01-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",4,39,119,NA
210,15-01-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",4,30,189,NA
210,18-01-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",4,25,128,NA
210,22-01-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",3,20,131,NA
210,25-01-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,21,175,NA
210,27-01-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",4,22,160,NA
210,29-01-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,26,181,NA
210,2/1/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",4,20,121,NA
210,2/3/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",4,32,106,NA
210,2/8/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",3,34,298,NA
210,2/10/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",9,23,157,NA
210,15-02-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",3,24,141,NA
210,17-02-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,41,106,NA
210,19-02-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,36,134,NA
210,22-02-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,40,259,NA
210,24-02-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",6,18,164,NA
210,26-02-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,25,143,NA
210,3/3/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,34,99,NA
210,3/5/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,30,120,NA
210,3/8/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",NA,18,130,NA
210,3/10/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",NA,19,100,NA
210,3/12/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",NA,29,135,NA
210,15-03-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",NA,20,100,NA
210,17-03-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",NA,25,175,NA
210,19-03-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",NA,20,114,NA
210,26-03-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",NA,36,196,NA
210,4/5/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",7,23,188,NA
210,4/7/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",6,22,164,NA
210,4/9/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",10,21,656,NA
210,4/12/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",6,17,290,NA
210,16-04-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",4,17,61,NA
210,19-04-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",6,22,87,NA
210,21-04-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",7,37,146,NA
210,26-04-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",6,35,190,NA
210,28-04-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,12,51,NA
210,30-04-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",NA,NA,88,NA
210,5/3/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",6,53,68,NA
210,5/5/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",7,19,69,NA
210,5/7/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",4,40,75,NA
210,5/10/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",7,34,142,NA
210,5/12/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",6,20,101,NA
210,14-05-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",8,30,111,NA
210,17-05-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",6,31,126,NA
210,19-05-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,20,165,NA
210,21-05-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",7,26,74,NA
210,24-05-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",7,16,67,NA
210,26-05-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",6,21,95,NA
210,28-05-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",7,20,39,NA
210,6/2/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",3,18,88,NA
210,6/4/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,20,110,NA
210,6/7/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",8,23,245,NA
210,6/9/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",3,14,106,NA
210,6/11/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",7,11,103,NA
210,14-06-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",7,17,118,NA
210,16-06-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",8,30,113,NA
210,28-06-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,11,79,NA
210,30-06-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,30,62,NA
210,7/2/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,31,65,NA
210,7/5/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",2,22,88,NA
210,7/7/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",2,11,44,NA
210,7/9/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",6,16,59,NA
210,7/12/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",4,15,53,NA
210,14-07-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,19,62,NA
210,16-07-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",2,41,48,NA
210,19-07-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",4,19,42,NA
210,21-07-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",3,14,88,NA
210,23-07-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",2,29,95,NA
210,26-07-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",4,28,104,NA
210,28-07-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",5,28,50,NA
210,30-07-10,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",6,46,46,NA
210,8/2/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",3,29,58,NA
210,8/4/2010,Bihar,Patna,"Beltron Bhawan, Shastri Nagar, Patna",Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",3,30,56,NA
