Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
106,January - M012002,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,NA,NA,NA,228
106,February - M022002,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,NA,NA,NA,203
106,March - M032002,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,13.9,13.4,NA,220
106,April - M042002,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,11,9,NA,351
106,May - M052002,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,14.5,10.2,NA,562
106,June - M062002,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,13.8,11.4,NA,432
106,July - M072002,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,7.5,9.2,NA,548
106,August - M082002,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,8.7,8.5,NA,230
106,September - M092002,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,9.2,10,NA,271
106,October - M102002,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,2.3,8.7,NA,305
106,November - M112002,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,7.2,9.8,NA,425
106,December - M122002,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,3.7,12.7,NA,437
106,Annual - M132002,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,9,10.1,NA,354
263,January - M012002,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",NA,NA,NA,160
263,February - M022002,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",NA,4.5,NA,145
263,March - M032002,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",7.7,9.3,NA,199
263,April - M042002,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",10.3,6.4,NA,274
263,May - M052002,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",7,7.3,NA,427
263,June - M062002,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",8.3,7.7,NA,230
263,July - M072002,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",7.3,8,NA,446
263,August - M082002,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",9,7.6,NA,173
263,September - M092002,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",8,10.5,NA,169
263,October - M102002,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",3.9,12.9,NA,222
263,November - M112002,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",3.5,9.8,NA,231
263,December - M122002,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",3.3,6.3,NA,225
263,Annual - M132002,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",6.5,8.8,NA,244
