Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/2/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,26.3,72,143
1/5/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,20.3,30,76
1/7/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,21.7,164,289
1/9/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,28.5,90,161
1/12/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,33,87,169
14/1/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,37,93,189
16/1/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,44,103,228
19/1/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,13.7,65,140
21/1/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,25.7,75,135
23/1/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,23.2,63,121
28/1/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,28.3,84,166
2/2/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,30.8,76,150
2/4/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,41.2,51,144
2/6/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,38.3,64,NA
2/9/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,26.5,76,196
2/11/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,25.8,75,141
13/2/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,22.3,46,92
15/2/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,15.5,161,302
16/2/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,9.1,78,146
18/2/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,15.8,80,150
20/2/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,14.7,76,147
23/2/2009,Chandigarh,Chandigarh,Industrial Area,Industrial Areas,NA,21.2,49,101
