Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
249,January - M012001,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",12.6,18.7,NA,68
249,February - M022001,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",13.1,19.9,NA,83
249,March - M032001,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",12.9,21.3,NA,67
249,April - M042001,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",12.8,21,NA,84
249,May - M052001,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",12.6,21.3,NA,85
249,June - M062001,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",12.5,20,NA,78
249,July - M072001,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",12,19.6,NA,66
249,August - M082001,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",12.4,20.1,NA,65
249,September - M092001,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",NA,NA,NA,73
249,October - M102001,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",NA,NA,NA,105
249,November - M112001,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",NA,NA,NA,115
249,December - M122001,Chhattisgarh,Korba,Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",NA,NA,NA,90
