"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
669,01-03-14,Chhattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar, Bilashpur",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",5,21,116,NA
669,01-07-14,Chhattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar, Bilashpur",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",6,22,96,NA
669,01-10-14,Chhattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar, Bilashpur",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",7,23,114,NA
669,17-01-14,Chhattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar, Bilashpur",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",6,23,115,NA
669,21-01-14,Chhattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar, Bilashpur",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",7,23,130,NA
669,24-01-14,Chhattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar, Bilashpur",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",6,22,98,NA
669,28-01-14,Chhattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar, Bilashpur",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",5,21,84,NA
669,31-01-14,Chhattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar, Bilashpur",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",6,22,103,NA
669,02-07-14,Chhattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar, Bilashpur",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",5,20,116,NA
669,02-11-14,Chhattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar, Bilashpur",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",7,23,141,NA
669,14-02-14,Chhattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar, Bilashpur",Chattisgarh Environment Conservation Board,"Residential, Rural and other Areas",7,23,128,NA
