Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
235,January - M011994,Dadar & Nagar Haveli,Daman,Central Pollution Control Board,NA,NA,NA,NA,96
235,February - M021994,Dadar & Nagar Haveli,Daman,Central Pollution Control Board,NA,5.3,7.5,NA,86
235,March - M031994,Dadar & Nagar Haveli,Daman,Central Pollution Control Board,NA,5.4,7.5,NA,102
235,April - M041994,Dadar & Nagar Haveli,Daman,Central Pollution Control Board,NA,5.8,6.3,NA,99
235,May - M051994,Dadar & Nagar Haveli,Daman,Central Pollution Control Board,NA,5.5,7.7,NA,101
235,June - M061994,Dadar & Nagar Haveli,Daman,Central Pollution Control Board,NA,5.8,7.9,NA,107
235,July - M071994,Dadar & Nagar Haveli,Daman,Central Pollution Control Board,NA,5.2,7.4,NA,99
235,August - M081994,Dadar & Nagar Haveli,Daman,Central Pollution Control Board,NA,5.5,7.6,NA,106
235,September - M091994,Dadar & Nagar Haveli,Daman,Central Pollution Control Board,NA,4.9,6.9,NA,98
235,September - M091994,Dadar & Nagar Haveli,Daman,Central Pollution Control Board,NA,4.9,6.9,NA,98
235,November - M111994,Dadar & Nagar Haveli,Daman,Central Pollution Control Board,NA,5.1,7.6,NA,107
235,December - M121994,Dadar & Nagar Haveli,Daman,Central Pollution Control Board,NA,5.7,7.6,NA,108
