Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/3/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.6,18.7,108,260
1/4/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.8,19.2,121,272
1/10/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.8,19.2,115,271
1/11/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,11.1,19.6,100,231
17/1/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,11.2,19.8,112,275
18/1/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.5,18.7,100,256
24/1/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.5,19,112,278
25/1/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,11.3,19.5,112,274
30/1/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.7,18.7,102,248
31/1/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.7,19,97,250
2/4/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.2,18.1,126,263
2/7/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.5,18.6,132,275
2/11/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.4,18.5,131,274
14/2/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.7,19,112,234
18/2/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.8,19.2,133,279
21/2/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.2,18.1,124,259
25/2/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.2,18.4,135,281
28/2/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,11,18.8,133,277
3/3/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,9.9,17.6,126,264
3/6/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.1,18,130,272
3/10/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.1,18.2,133,277
13/3/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.3,18.4,114,237
17/3/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.5,18.6,134,287
20/3/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,9.9,17.6,126,262
24/3/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,9.9,17.8,137,285
27/3/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.6,18.2,134,281
4/2/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,9.6,17.4,128,267
4/5/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,9.8,17.2,132,276
4/9/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,9.8,17,133,278
4/12/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,9.7,17.4,132,274
16/4/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,9.8,17.4,135,281
19/4/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10,17.8,115,240
23/4/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,10.1,18,139,291
26/4/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,9.6,17,127,266
30/4/2008,Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial Areas,9.5,17.2,138,289
