Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
114,January - M011994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,Industrial Area,5.6,9,NA,133
116,January - M011994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,"Residential, Rural and other Areas",4.6,7.5,NA,127
114,February - M021994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,Industrial Area,6.2,5.7,NA,121
116,February - M021994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,"Residential, Rural and other Areas",4.6,6.8,NA,119
114,March - M031994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,Industrial Area,6.9,4.9,NA,113
114,April - M041994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,Industrial Area,4,5.3,NA,118
114,May - M051994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,Industrial Area,6.3,8.4,NA,121
114,June - M061994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,Industrial Area,4,6,NA,110
114,July - M071994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,Industrial Area,3.9,6,NA,88
114,August - M081994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,Industrial Area,3.6,5.7,NA,62
114,September - M091994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,Industrial Area,2.8,4,NA,75
114,September - M091994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,Industrial Area,2.8,4,NA,75
114,November - M111994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,Industrial Area,4,4.9,NA,91
114,December - M121994,Daman Diu & Nag,Daman Diu & Nagar,Central Pollution Control Board,Industrial Area,2.7,4.4,NA,117
