Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
12/8/2007,Daman & Diu,Daman,Kadaiya Ind. Area,Industrial Areas,10.3,18.3,99,234
12/11/2007,Daman & Diu,Daman,Kadaiya Ind. Area,Industrial Areas,10.6,18.8,117,278
15-12-07,Daman & Diu,Daman,Kadaiya Ind. Area,Industrial Areas,11,19.5,104,241
18-12-07,Daman & Diu,Daman,Kadaiya Ind. Area,Industrial Areas,10.5,18.7,113,262
22-12-07,Daman & Diu,Daman,Kadaiya Ind. Area,Industrial Areas,10.6,18.8,112,262
25-12-07,Daman & Diu,Daman,Kadaiya Ind. Area,Industrial Areas,10.4,18.5,115,268
29-12-07,Daman & Diu,Daman,Kadaiya Ind. Area,Industrial Areas,11.7,20.8,113,263
31-12-07,Daman & Diu,Daman,Kadaiya Ind. Area,Industrial Areas,11.4,20.2,101,236
12/8/2007,Daman & Diu,Daman,Airport Road,Residential and others,9.1,16.2,70,166
12/11/2007,Daman & Diu,Daman,Airport Road,Residential and others,25.3,17.3,72,169
15-12-07,Daman & Diu,Daman,Airport Road,Residential and others,10.7,19,82,191
18-12-07,Daman & Diu,Daman,Airport Road,Residential and others,8.5,15.2,82,192
22-12-07,Daman & Diu,Daman,Airport Road,Residential and others,10,17.8,66,156
25-12-07,Daman & Diu,Daman,Airport Road,Residential and others,25.7,18.7,71,166
29-12-07,Daman & Diu,Daman,Airport Road,Residential and others,10.7,18.9,77,180
31-12-07,Daman & Diu,Daman,Airport Road,Residential and others,10.3,18.2,87,204
