Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
560,1/4/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.2,17.1,NA,44
560,1/7/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.4,20,NA,43
560,1/11/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.8,18.6,NA,42
560,13/01/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,18.8,NA,43
560,18/01/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,18.5,NA,43
560,21/01/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.3,18.1,NA,42
560,25/01/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.6,18.8,NA,45
560,28/01/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.1,18.8,NA,43
560,2/4/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,20.2,NA,42
560,2/5/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,20,NA,43
560,2/8/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.2,19.9,NA,42
560,2/11/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.2,19.4,NA,41
560,15/02/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.3,19.2,NA,41
560,18/02/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.1,19.4,NA,42
560,22/02/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.2,19.5,NA,42
560,25/02/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.1,18.7,NA,40
560,3/1/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.3,19.4,24,42
560,3/4/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,19.6,24,43
560,3/8/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,19.3,24,43
560,3/11/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,19.4,24,42
560,15/03/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.4,19.3,24,42
560,18/03/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,19.7,24,43
560,19/03/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.4,19.6,24,42
560,22/03/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.3,19.4,24,42
560,25/03/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,19.6,24,42
560,29/03/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,19.4,24,42
560,4/2/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,19.7,NA,43
560,4/5/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.6,19.7,NA,43
560,4/9/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.4,19.7,NA,42
560,4/11/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,20,NA,42
560,4/12/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,19.7,NA,43
560,16/04/2011,Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)","Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,19.6,NA,43
