Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
246,January - M012002,Goa,Panjim,Goa Pollution Control Board,NA,27.6,29.8,NA,NA
246,February - M022002,Goa,Panjim,Goa Pollution Control Board,NA,31.2,37,NA,NA
246,March - M032002,Goa,Panjim,Goa Pollution Control Board,NA,28.5,39.5,NA,NA
246,April - M042002,Goa,Panjim,Goa Pollution Control Board,NA,29.8,41.5,NA,NA
246,May - M052002,Goa,Panjim,Goa Pollution Control Board,NA,28.7,38.7,NA,NA
246,June - M062002,Goa,Panjim,Goa Pollution Control Board,NA,12.7,28.6,NA,NA
246,July - M072002,Goa,Panjim,Goa Pollution Control Board,NA,55.2,49.3,NA,NA
246,August - M082002,Goa,Panjim,Goa Pollution Control Board,NA,29.5,41,NA,NA
246,September - M092002,Goa,Panjim,Goa Pollution Control Board,NA,18.9,35.9,NA,NA
246,October - M102002,Goa,Panjim,Goa Pollution Control Board,NA,25.1,39.6,NA,NA
246,November - M112002,Goa,Panjim,Goa Pollution Control Board,NA,25.8,34.1,NA,NA
246,December - M122002,Goa,Panjim,Goa Pollution Control Board,NA,25.4,38.3,NA,NA
246,Annual - M132002,Goa,Panjim,Goa Pollution Control Board,NA,28.6,37.8,NA,NA
