Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
246,1/3/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,1/7/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,1/10/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,14-01-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,17-01-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,21-01-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,24-01-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,28-01-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,31-01-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,2/4/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,2/7/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,2/11/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,14-02-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,18-02-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,21-02-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,25-02-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,28-02-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,3/4/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,3/7/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,3/11/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,18-03-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,21-03-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,25-03-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,28-03-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,4/1/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,4/4/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,4/8/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,22-04-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,25-04-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,29-04-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,5/2/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,5/6/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,5/9/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,13-05-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,20-05-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,23-05-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,27-05-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,30-05-03,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,6/3/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
246,6/6/2003,Goa,Panjim,Goa Pollution Control Board,NA,0,0,0,0
