Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/3/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,14,14.5,67,166
1/5/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,13.3,13.8,53,111
1/10/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,9.8,10.5,80,126
1/12/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,2.5,13.3,68,113
17/1/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,10.5,8.8,39,86
19/1/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,11.7,9.2,52,119
24/1/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,20.3,21.3,59,160
31/1/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,13,15.9,65,150
2/2/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,8.5,10.8,82,271
2/7/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,NA,10.5,60,125
2/9/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,NA,10.3,54,110
14/2/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,2.7,9.4,57,114
16/2/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,NA,12.3,83,184
21/2/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,2.3,NA,46,112
28/2/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,NA,NA,41,77
3/2/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,NA,NA,39,65
3/7/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,NA,6.3,53,70
3/9/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,NA,NA,31,96
14/3/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,NA,NA,30,64
16/3/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,NA,NA,36,107
21/3/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,NA,NA,28,80
23/3/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,NA,NA,38,76
28/3/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,NA,NA,40,73
31/3/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,5,5.3,28,69
4/4/2006,Goa,Mormugao,Mormugao Port Trust,Industrial Areas,NA,NA,30,69
