"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
327,01-01-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",6,9,61,NA
327,01-08-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",4,13,74,NA
327,01-10-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,5,58,NA
327,15-01-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,5,89,NA
327,17-01-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,8,52,NA
327,22-01-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,5,42,NA
327,24-01-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",7,15,72,NA
327,29-01-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,15,75,NA
327,31-01-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,9,82,NA
327,02-05-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,7,110,NA
327,02-07-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,5,71,NA
327,02-12-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,12,45,NA
327,14-02-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",4,6,44,NA
327,19-02-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",3,11,60,NA
327,21-02-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",5,5,52,NA
327,26-02-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",5,12,44,NA
327,28-02-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,5,24,NA
327,03-05-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",2,6,40,NA
327,03-07-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",4,11,56,NA
327,03-12-14,Goa,Panaji,"Infront of Old GSPCB premises, Patto, Panaji, Goa",Goa State Pollution Control Board,"Residential, Rural and other Areas",4,6,61,NA
