Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
51,M011989,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,14.8,30.4,NA,197
100,M011989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,70.3,67.9,NA,398
101,M011989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,49,115.9,NA,274
102,M011989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",74,48.3,NA,339
103,M011989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",26.7,37.5,NA,289
47,M011989,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",10.3,7.7,NA,317
48,M011989,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",12.5,11.2,NA,357
49,M011989,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,13.8,12.6,NA,386
50,M011989,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",9.9,13.3,NA,236
21,M011989,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",10.9,41.6,NA,122
22,M011989,Gujarat,Surat,Gujarat Pollution Control Board,Industrial Area,36.6,21.5,NA,213
23,M011989,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",30.6,23.1,NA,470
51,M021989,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,42,39.4,NA,289
100,M021989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,60.6,39.5,NA,400
101,M021989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,35.9,93.1,NA,239
102,M021989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",57.1,62,NA,377
103,M021989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",18.3,31.4,NA,308
47,M021989,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",20.6,15.1,NA,404
48,M021989,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",18.5,14.4,NA,384
49,M021989,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,43.7,17.2,NA,391
50,M021989,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",20,16.6,NA,285
21,M021989,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",13.5,32.5,NA,126
22,M021989,Gujarat,Surat,Gujarat Pollution Control Board,Industrial Area,36.8,19.3,NA,256
23,M021989,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",26.8,32.9,NA,476
51,M031989,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,90.8,51.2,NA,354
100,M031989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,48.5,35.7,NA,389
101,M031989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,25,59.6,NA,259
102,M031989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",35.6,58.9,NA,364
103,M031989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",12.6,35.3,NA,288
47,M031989,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",63.1,53.3,NA,582
48,M031989,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",47.3,31.6,NA,402
49,M031989,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,64.1,37.1,NA,454
50,M031989,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",67.3,36,NA,406
21,M031989,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",9.1,20.3,NA,152
22,M031989,Gujarat,Surat,Gujarat Pollution Control Board,Industrial Area,30,30.4,NA,187
23,M031989,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",17.9,28.3,NA,422
51,M041989,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,34.2,22.4,NA,347
97,M041989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,7.4,47,NA,464
100,M041989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,37.7,29.3,NA,398
