Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
257,1/2/2004,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,10,24,211.33,331
257,1/6/2004,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,10,24,210.33,333
257,1/9/2004,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,10,24,218.67,334
257,13-01-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,11,25,217.33,350
257,16-01-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,10,24,211.33,339
257,20-01-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,11,25,211,339
257,23-01-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,11,25,220,348
257,27-01-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,11,26,215,345
257,30-01-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,11,26,207,335
257,2/3/2004,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,12,26,216.33,340
257,2/6/2004,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,11,27,208,326
257,2/10/2004,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,11,26,221,341
257,13-02-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,12,26,226.33,367
257,17-02-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,11,25,230.67,366
257,20-02-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,12,25,226.33,360
257,24-02-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,11,26,221.33,360
257,27-02-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,11,26,220,341
257,3/2/2004,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,12,27,210,340
257,3/5/2004,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,13,27,213,333
257,3/9/2004,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,12,28,211.67,346
257,3/12/2004,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,12,27,218.67,346
257,16-03-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,12,25,212.33,329
257,19-03-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,12,25,205,328
257,23-03-04,Gujarat,Rajkot,"Sardhara Industrial Corporation, Rajkot",Gujarat State Pollution Control Board,Industrial Area,12,24,208,323
