Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/5/2005,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,17.8,27.7,197,355
1/8/2005,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,18,29.5,205,373
1/12/2005,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,16.1,29.4,203,387
15-01-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,19.6,27.6,176,384
19-01-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,15.1,28,176,378
22-01-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,19.2,26.6,182,385
26-01-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,16.4,32.3,188,391
29-01-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,17.7,34.1,202,388
2/1/2005,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,15.3,27.6,153,351
2/4/2005,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,17.3,29.7,158,362
2/8/2005,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,19.4,36.1,184,404
2/11/2005,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,19.3,36.1,220,484
15-02-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,21.1,35.9,202,456
18-02-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,20.3,41.8,164,389
22-02-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,16.8,31.6,216,525
25-02-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,16.8,34.5,201,460
28-02-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,14.8,31.9,241,514
3/3/2005,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,16.8,31.6,164,380
3/7/2005,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,16.8,20.3,158,360
3/10/2005,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,15.4,29.9,212,487
14-03-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,18.2,30.8,212,487
17-03-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,20,33.9,195,507
21-03-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,17.4,33.3,204,504
24-03-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,18.2,31.6,210,511
28-03-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,16.8,29.4,203,478
31-03-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,20.2,31.6,214,525
4/5/2005,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,19.4,31.6,222,539
4/8/2005,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,13,25.3,217,525
4/12/2005,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,15.3,29.6,224,540
15-04-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,14.2,30.8,208,512
19-04-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,17.9,33,213,527
22-04-05,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,17.7,33.6,199,500
