Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
196,January - M011994,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,25,10.5,NA,NA
42,January - M011994,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",40,14.3,NA,286
196,February - M021994,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,22.9,11.4,NA,NA
42,February - M021994,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",42.7,14.8,NA,343
196,March - M031994,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,26.4,11.2,NA,NA
42,March - M031994,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",42.7,14.5,NA,331
196,April - M041994,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,33.5,14.4,NA,NA
42,April - M041994,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",43.1,14.5,NA,297
196,May - M051994,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,31.3,16.1,NA,NA
42,May - M051994,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",42.7,14.4,NA,319
196,June - M061994,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,31.4,16,NA,NA
42,June - M061994,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",42.7,14.4,NA,327
196,July - M071994,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,29.3,17.5,NA,NA
42,July - M071994,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",16.7,8,NA,145
196,August - M081994,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,25.6,13.1,NA,NA
42,August - M081994,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",21.5,10,NA,206
196,September - M091994,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,30.5,16.6,NA,NA
42,September - M091994,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",32.7,13.1,NA,303
196,September - M091994,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,30.5,16.6,NA,NA
42,September - M091994,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",32.7,13.1,NA,303
196,November - M111994,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,34.2,22.3,NA,NA
42,November - M111994,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",40.4,17.3,NA,357
196,December - M121994,Haryana,Yamuna Nagar,Haryana Pollution Control Board,Industrial Area,33.6,21.9,NA,NA
42,December - M121994,Haryana,Faridabad,Haryana Pollution Control Board,"Residential, Rural and other Areas",40,13.6,NA,348
43,December - M121994,Haryana,Faridabad,Haryana Pollution Control Board,Industrial Area,43.4,15.1,NA,382
275,December - M121994,Haryana,Dharuhera,Haryana State Pollution Control Board,Industrial Area,37.8,32.1,NA,339
