Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/4/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11,21.7,175,417
1/6/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,21.3,175,418
1/11/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,21,180,421
13-01-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,21.8,173,407
18-01-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,23.3,176,414
20-01-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11,21.2,175,405
25-01-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,18.8,179,420
27-01-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.7,20.7,181,416
2/1/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,12.7,27.3,179,424
2/8/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,9.7,22.2,161,421
2/10/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10,21.8,165,404
15-02-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.7,22.2,163,407
16-02-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.2,21.7,174,430
17-02-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,9.2,20.5,170,421
22-02-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,13,24.3,165,417
25-02-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,12.5,26.7,175,426
3/1/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,22.3,159,393
3/3/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10,24.2,155,370
3/10/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,8.3,22,143,314
15-03-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,20.5,156,359
17-03-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,26,164,395
22-03-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,22.3,157,393
24-03-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.2,21.8,152,366
29-03-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,21,157,370
31-03-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,20.5,151,359
4/5/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,20.5,164,395
4/7/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,26,157,393
4/12/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,22.3,152,366
19-04-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.2,21.8,157,370
21-04-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,21,151,359
26-04-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,20.5,164,395
28-04-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,26,159,393
5/3/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11,20.5,159,393
5/5/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10,24.2,155,370
5/10/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,8.3,22,143,314
5/12/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,20.5,156,359
17-05-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,26,164,395
19-05-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,22.3,159,393
24-05-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.2,21.8,152,366
26-05-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,21,157,370
31-05-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10,24.5,151,359
21-06-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11,30,253,502
23-06-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11,31,262,518
27-06-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11,27,207,426
30-06-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10,26,206,423
7/5/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.7,21.3,185,430
7/7/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,21,181,416
7/12/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,21,180,421
14-07-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,21.8,173,407
19-07-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,23.3,176,414
21-07-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11,21.2,175,425
26-07-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,18.8,179,420
28-07-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.7,20.7,181,416
8/2/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11,22,159,303
8/4/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.2,21.8,155,370
8/9/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,27,143,314
8/11/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10,24.5,156,359
16-08-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,24.2,164,395
18-08-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10,22,159,393
23-08-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,25.3,152,366
25-08-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,26,157,370
30-08-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,22.3,151,359
9/1/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,20.5,159,393
9/6/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10,24.2,155,370
9/8/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,8.3,22,143,314
13-09-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,20.5,156,359
20-09-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,26,164,395
22-09-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,22.3,159,393
27-09-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.2,21.8,192,436
29-09-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,21,197,417
10/6/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.5,26.3,179,433
10/11/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,24.2,192,436
13-10-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10,22.3,197,417
18-10-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.3,26.3,196,439
20-10-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,26,181,435
25-10-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,30.3,189,460
26-10-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.2,28.8,192,436
27-10-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,13.3,31,194,442
11/3/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.7,23.3,174,411
11/8/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,9.7,22.2,161,391
11/10/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10,21.8,165,404
17-11-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.7,22.2,163,397
22-11-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.2,21.7,166,410
24-11-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,9.2,20.5,170,421
25-11-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10,20.3,165,417
12/1/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.7,21.3,179,420
12/6/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,21,181,416
12/8/2005,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,21,180,421
13-12-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.3,21.8,173,407
15-12-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,23.3,176,414
20-12-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11,21.2,175,405
22-12-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,10.8,18.8,179,420
27-12-05,Haryana,Faridabad,Shivalic Global Ind.,Industrial Areas,11.7,20.7,181,416
1/3/2005,Haryana,Faridabad,Regional Office,Residential and others,6.5,18.5,140,302
1/7/2005,Haryana,Faridabad,Regional Office,Residential and others,7.2,19.2,141,305
1/10/2005,Haryana,Faridabad,Regional Office,Residential and others,6.5,20,146,304
1/12/2005,Haryana,Faridabad,Regional Office,Residential and others,7,20,144,316
14-01-05,Haryana,Faridabad,Regional Office,Residential and others,7,19.3,140,308
17-01-05,Haryana,Faridabad,Regional Office,Residential and others,7,19.2,144,316
19-01-05,Haryana,Faridabad,Regional Office,Residential and others,6.2,18,141,304
24-01-05,Haryana,Faridabad,Regional Office,Residential and others,8.2,18.2,138,306
28-01-05,Haryana,Faridabad,Regional Office,Residential and others,7.3,19,147,316
31-01-05,Haryana,Faridabad,Regional Office,Residential and others,7,18.3,142,304
2/2/2005,Haryana,Faridabad,Regional Office,Residential and others,8.7,23,154,329
2/4/2005,Haryana,Faridabad,Regional Office,Residential and others,7,19.2,146,329
2/7/2005,Haryana,Faridabad,Regional Office,Residential and others,7.7,21,145,305
2/9/2005,Haryana,Faridabad,Regional Office,Residential and others,6.8,20,140,312
2/11/2005,Haryana,Faridabad,Regional Office,Residential and others,7.2,17.7,142,304
14-02-05,Haryana,Faridabad,Regional Office,Residential and others,7.7,19.3,124,228
18-02-05,Haryana,Faridabad,Regional Office,Residential and others,10.3,20.8,132,297
21-02-05,Haryana,Faridabad,Regional Office,Residential and others,7.8,20.7,140,321
23-02-05,Haryana,Faridabad,Regional Office,Residential and others,7.2,17.7,126,282
28-02-05,Haryana,Faridabad,Regional Office,Residential and others,8.5,20.3,156,337
3/2/2005,Haryana,Faridabad,Regional Office,Residential and others,5.5,12.3,126,282
3/7/2005,Haryana,Faridabad,Regional Office,Residential and others,7,19.2,146,309
3/11/2005,Haryana,Faridabad,Regional Office,Residential and others,7.7,21,145,305
14-03-05,Haryana,Faridabad,Regional Office,Residential and others,6.8,20,140,312
18-03-05,Haryana,Faridabad,Regional Office,Residential and others,6.8,19.7,142,304
21-03-05,Haryana,Faridabad,Regional Office,Residential and others,7.7,19.3,124,228
23-03-05,Haryana,Faridabad,Regional Office,Residential and others,10.3,20.8,132,297
25-03-05,Haryana,Faridabad,Regional Office,Residential and others,7.8,20.7,140,321
28-03-05,Haryana,Faridabad,Regional Office,Residential and others,7.2,17.7,126,282
30-03-05,Haryana,Faridabad,Regional Office,Residential and others,6.8,20,109,230
4/4/2005,Haryana,Faridabad,Regional Office,Residential and others,6.8,19.7,140,312
4/6/2005,Haryana,Faridabad,Regional Office,Residential and others,7.7,19.3,142,304
4/8/2005,Haryana,Faridabad,Regional Office,Residential and others,10.3,20.8,124,228
4/11/2005,Haryana,Faridabad,Regional Office,Residential and others,7.8,20.7,132,297
15-04-05,Haryana,Faridabad,Regional Office,Residential and others,7.2,17.7,140,321
18-04-05,Haryana,Faridabad,Regional Office,Residential and others,6.8,20,126,282
20-04-05,Haryana,Faridabad,Regional Office,Residential and others,10.3,19.3,140,304
25-04-05,Haryana,Faridabad,Regional Office,Residential and others,8.4,26,141,304
27-04-05,Haryana,Faridabad,Regional Office,Residential and others,10.8,22.3,138,306
29-04-05,Haryana,Faridabad,Regional Office,Residential and others,11.2,21.8,147,316
5/2/2005,Haryana,Faridabad,Regional Office,Residential and others,10.3,19.3,146,309
5/6/2005,Haryana,Faridabad,Regional Office,Residential and others,10.7,19.3,146,327
5/9/2005,Haryana,Faridabad,Regional Office,Residential and others,7.7,21,145,305
13-05-05,Haryana,Faridabad,Regional Office,Residential and others,6.8,20,140,312
16-05-05,Haryana,Faridabad,Regional Office,Residential and others,6.8,19.7,142,304
20-05-05,Haryana,Faridabad,Regional Office,Residential and others,7.7,19.3,124,228
23-05-05,Haryana,Faridabad,Regional Office,Residential and others,10.3,20.8,132,297
25-05-05,Haryana,Faridabad,Regional Office,Residential and others,7.8,20.7,140,321
27-05-05,Haryana,Faridabad,Regional Office,Residential and others,7.2,17.7,126,282
30-05-05,Haryana,Faridabad,Regional Office,Residential and others,7,19.2,142,304
20-06-05,Haryana,Faridabad,Regional Office,Residential and others,9,23,201,416
24-06-05,Haryana,Faridabad,Regional Office,Residential and others,8,24,193,406
28-06-05,Haryana,Faridabad,Regional Office,Residential and others,8,23,143,314
29-06-05,Haryana,Faridabad,Regional Office,Residential and others,7,23,146,293
7/1/2005,Haryana,Faridabad,Regional Office,Residential and others,6,19,118,261
7/4/2005,Haryana,Faridabad,Regional Office,Residential and others,6,18,109,244
7/6/2005,Haryana,Faridabad,Regional Office,Residential and others,7,18.5,138,306
7/8/2005,Haryana,Faridabad,Regional Office,Residential and others,7.2,20,144,316
7/11/2005,Haryana,Faridabad,Regional Office,Residential and others,7,19.3,140,311
15-07-05,Haryana,Faridabad,Regional Office,Residential and others,9.8,23,144,316
18-07-05,Haryana,Faridabad,Regional Office,Residential and others,7.5,19.3,141,304
22-07-05,Haryana,Faridabad,Regional Office,Residential and others,8.2,17.8,148,292
25-07-05,Haryana,Faridabad,Regional Office,Residential and others,7.5,19.3,147,316
29-07-05,Haryana,Faridabad,Regional Office,Residential and others,9.2,22.5,153,326
8/1/2005,Haryana,Faridabad,Regional Office,Residential and others,8,23,165,392
8/5/2005,Haryana,Faridabad,Regional Office,Residential and others,7,19,160,362
8/8/2005,Haryana,Faridabad,Regional Office,Residential and others,7,21,142,374
8/12/2005,Haryana,Faridabad,Regional Office,Residential and others,10,21,144,308
17-08-05,Haryana,Faridabad,Regional Office,Residential and others,7,18,132,297
19-08-05,Haryana,Faridabad,Regional Office,Residential and others,7,19,140,321
22-08-05,Haryana,Faridabad,Regional Office,Residential and others,8,23,201,416
24-08-05,Haryana,Faridabad,Regional Office,Residential and others,10,24,193,406
29-08-05,Haryana,Faridabad,Regional Office,Residential and others,8,23,143,314
31-08-05,Haryana,Faridabad,Regional Office,Residential and others,7,23,156,313
9/2/2005,Haryana,Faridabad,Regional Office,Residential and others,7.7,21.7,178,368
9/5/2005,Haryana,Faridabad,Regional Office,Residential and others,7.2,23.3,184,385
9/7/2005,Haryana,Faridabad,Regional Office,Residential and others,7.8,24.2,181,374
9/9/2005,Haryana,Faridabad,Regional Office,Residential and others,7.8,21.7,170,351
9/12/2005,Haryana,Faridabad,Regional Office,Residential and others,8.3,23.3,172,365
19-09-05,Haryana,Faridabad,Regional Office,Residential and others,6.8,18.2,151,295
21-09-05,Haryana,Faridabad,Regional Office,Residential and others,7.5,22.3,159,314
26-09-05,Haryana,Faridabad,Regional Office,Residential and others,8.2,20.3,155,304
28-09-05,Haryana,Faridabad,Regional Office,Residential and others,7.7,20.2,174,362
30-09-05,Haryana,Faridabad,Regional Office,Residential and others,7.8,23.2,176,373
10/3/2005,Haryana,Faridabad,Regional Office,Residential and others,7.2,23.3,184,385
10/5/2005,Haryana,Faridabad,Regional Office,Residential and others,7.8,24.2,181,374
10/7/2005,Haryana,Faridabad,Regional Office,Residential and others,7.8,23.2,170,351
10/10/2005,Haryana,Faridabad,Regional Office,Residential and others,7.2,21.7,172,365
14-10-05,Haryana,Faridabad,Regional Office,Residential and others,8.3,23.3,174,362
19-10-05,Haryana,Faridabad,Regional Office,Residential and others,6.8,24.2,178,368
21-10-05,Haryana,Faridabad,Regional Office,Residential and others,7.5,22.3,181,374
24-10-05,Haryana,Faridabad,Regional Office,Residential and others,8.2,20.3,184,385
28-10-05,Haryana,Faridabad,Regional Office,Residential and others,9.7,26.3,188,382
31-10-05,Haryana,Faridabad,Regional Office,Residential and others,11.5,30.3,176,393
11/7/2005,Haryana,Faridabad,Regional Office,Residential and others,6.8,19.7,142,304
11/9/2005,Haryana,Faridabad,Regional Office,Residential and others,7,19.2,146,309
11/11/2005,Haryana,Faridabad,Regional Office,Residential and others,7.7,17.8,145,305
14-11-05,Haryana,Faridabad,Regional Office,Residential and others,6.8,20,140,312
16-11-05,Haryana,Faridabad,Regional Office,Residential and others,7.2,17.7,142,304
18-11-05,Haryana,Faridabad,Regional Office,Residential and others,7.7,19.3,124,228
21-11-05,Haryana,Faridabad,Regional Office,Residential and others,10.3,17.8,132,297
23-11-05,Haryana,Faridabad,Regional Office,Residential and others,7.8,20.7,140,321
25-11-05,Haryana,Faridabad,Regional Office,Residential and others,7.2,17.7,126,282
28-11-05,Haryana,Faridabad,Regional Office,Residential and others,5.5,12.3,132,297
12/2/2005,Haryana,Faridabad,Regional Office,Residential and others,8.2,17.8,144,316
12/5/2005,Haryana,Faridabad,Regional Office,Residential and others,7.5,19.3,141,304
12/7/2005,Haryana,Faridabad,Regional Office,Residential and others,7,18.5,138,306
12/9/2005,Haryana,Faridabad,Regional Office,Residential and others,7.2,20,144,316
12/12/2005,Haryana,Faridabad,Regional Office,Residential and others,7,19.3,140,311
14-12-05,Haryana,Faridabad,Regional Office,Residential and others,6.8,19.2,144,316
16-12-05,Haryana,Faridabad,Regional Office,Residential and others,6.2,18,141,304
19-12-05,Haryana,Faridabad,Regional Office,Residential and others,8.2,17.8,138,306
23-12-05,Haryana,Faridabad,Regional Office,Residential and others,7.5,19.3,147,316
29-12-05,Haryana,Faridabad,Regional Office,Residential and others,7,18.5,142,305
1/4/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,99,251
1/7/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,97,210
1/11/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,76,192
14-01-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,105,266
18-01-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,103,205
21-01-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,107,205
25-01-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,86,187
28-01-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,50,100
2/3/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,63,177
2/7/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,110,292
2/11/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,93,304
15-02-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,94,281
18-02-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,85,224
21-02-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,75,204
24-02-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,67,200
28-02-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,56,168
3/3/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,62,91
3/7/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,21,53
3/10/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,49,120
14-03-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,58,91
17-03-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,51,80
20-03-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,61,113
24-03-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,31,96
28-03-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,54,93
31-03-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,51,97
4/4/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,116,211
4/7/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,122,214
4/11/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,112,211
14-04-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,119,226
18-04-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,133,250
21-04-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,114,210
28-04-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,118,214
5/2/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,111,292
5/5/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,104,255
5/9/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,111,308
5/12/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,95,360
16-05-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,94,311
19-05-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,84,262
24-05-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,68,194
28-05-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,84,228
6/1/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,102,NA
6/4/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,105,219
6/8/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,111,269
14-06-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,117,286
17-06-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,136,242
21-06-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,110,225
24-06-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,87,183
7/4/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,115,229
7/11/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,172,284
14-07-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,168,281
18-07-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,170,291
21-07-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,185,304
25-07-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,148,274
29-07-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,149,280
22-08-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,63,213
23-08-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,63,214
24-08-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,67,223
25-08-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,67,213
28-08-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,79,259
29-08-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,72,227
30-08-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,74,232
13-09-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,18,40
14-09-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,33,58
15-09-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,20,41
20-09-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,25,67
24-09-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,35,63
26-09-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,40,95
28-09-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,23,44
29-09-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,46,96
10/10/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,102,220
14-10-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,85,2213
17-10-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,110,239
20-10-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,126,260
21-10-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,119,221
22-10-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,120,235
23-10-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,114,210
29-10-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,130,201
11/8/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,107,222
11/9/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,107,222
13-11-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,106,211
18-11-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,98,203
19-11-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,100,220
22-11-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,114,215
23-11-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,107,209
28-11-05,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,NA,NA,105,210
12/1/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,11.1,10.4,102,210
12/2/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,11,10.5,102,212
12/8/2005,Haryana,Hisar,Guru Jambeshwar Uni,Residential and others,11.3,10.4,98,215
