Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
330,1/3/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",26,44,152,NA
330,1/7/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",27,52,155,NA
330,1/10/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",28,54,159,NA
330,1/12/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",26,52,156,NA
330,14/01/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",26,46,165,NA
330,17/01/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",28,46,161,NA
330,19/01/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",24,56,171,NA
330,21/01/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",28,51,155,NA
330,24/01/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",24,52,147,NA
330,28/01/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",26,55,156,NA
330,2/2/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",26,51,154,NA
330,2/4/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",28,54,159,NA
330,2/7/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",28,56,164,NA
330,2/9/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",31,52,167,NA
330,2/11/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",26,47,169,NA
330,14/02/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",29,56,161,NA
330,21/02/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",29,61,167,NA
330,23/02/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",26,55,150,NA
330,25/02/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",32,57,163,NA
330,28/02/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",28,57,172,NA
330,3/4/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",26,53,158,NA
330,3/7/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",30,57,163,NA
330,3/9/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",28,58,171,NA
330,3/11/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",33,55,177,NA
330,14/03/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",29,51,169,NA
330,16/03/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",31,57,162,NA
330,18/03/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",29,61,185,NA
330,21/03/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",28,55,182,NA
330,25/03/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",30,57,162,NA
330,28/03/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",31,57,172,NA
330,30/03/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",27,53,189,NA
330,4/1/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",23,45,161,NA
330,4/4/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",25,49,171,NA
330,4/6/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",26,52,179,NA
330,4/8/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",29,47,164,NA
330,13/04/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",27,46,185,NA
330,15/04/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",21,52,189,NA
330,18/04/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",29,54,155,NA
330,20/04/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",27,54,193,NA
330,25/04/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",28,53,175,NA
330,27/04/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",30,57,169,NA
330,5/2/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",25,48,169,NA
330,5/4/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",26,46,175,NA
330,5/6/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",25,50,187,NA
330,5/9/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",28,51,163,NA
330,5/11/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",23,53,189,NA
330,13/05/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",26,54,195,NA
330,16/05/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",30,55,168,NA
330,18/05/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",27,57,193,NA
330,20/05/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",28,49,183,NA
330,23/05/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",32,57,173,NA
330,25/05/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",29,54,193,NA
330,27/05/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",26,55,189,NA
330,30/05/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",28,56,199,NA
330,6/1/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",11,16,153,NA
330,6/3/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",13,18,157,NA
330,6/6/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",11,17,148,NA
330,6/8/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",10,19,159,NA
330,6/10/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",14,17,171,NA
330,13/06/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",13,18,155,NA
330,17/06/2011,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",16,19,166,NA
