"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
330,01-01-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",8,18,124,NA
330,01-03-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",7,14,128,NA
330,01-06-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",10,14,124,NA
330,01-08-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",8,23,137,NA
330,01-10-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",10,20,120,NA
330,13-01-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",9,19,114,NA
330,15-01-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",11,20,126,NA
330,17-01-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",10,21,123,NA
330,20-01-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",9,20,127,NA
330,24-01-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",11,16,133,NA
330,29-01-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",9,20,132,NA
330,31-01-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",10,22,132,NA
330,04-02-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",8,31,232,NA
330,04-04-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",9,34,225,NA
330,04-07-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",9,27,230,NA
330,04-09-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",10,24,234,NA
330,04-11-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",13,26,242,NA
330,16-04-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",9,30,231,NA
330,18-04-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",10,25,236,NA
330,23-04-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",17,22,253,NA
330,25-04-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",14,28,231,NA
330,28-04-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",12,24,244,NA
330,30-04-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",14,26,245,NA
330,05-02-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",11,32,223,NA
330,05-05-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",11,36,215,NA
330,05-07-14,Haryana,Faridabad,"Regional Office, Haryana State Pollution Control Board",Haryana State Pollution Control Board,"Residential, Rural and other Areas",12,31,234,NA
