Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
119,January - M011998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,12.5,NA,94
132,January - M011998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,16.1,NA,251
34,January - M011998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.5,5.7,NA,31
35,January - M011998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",3,16.1,NA,114
117,January - M011998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,8.6,NA,159
118,January - M011998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,3.7,6.8,NA,305
268,January - M011998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",4.6,11.1,NA,106
271,January - M011998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",3,12.4,NA,181
34,February - M021998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.7,8.1,NA,36
35,February - M021998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",3.7,18.6,NA,117
119,February - M021998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,14.3,NA,114
132,February - M021998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,11.6,NA,272
117,February - M021998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,9.1,NA,229
118,February - M021998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,7.4,NA,362
268,February - M021998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",4,9.4,NA,121
271,February - M021998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",3.3,10.1,NA,121
119,March - M031998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,8.3,NA,92
132,March - M031998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,11,NA,236
117,March - M031998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,7.6,NA,220
118,March - M031998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.3,NA,275
268,March - M031998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",3.3,10.9,NA,131
271,March - M031998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",4.2,10.4,NA,126
34,March - M031998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.7,7,NA,33
35,March - M031998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",3.9,16.5,NA,153
119,April - M041998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,10.9,NA,124
268,April - M041998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",4,10.7,NA,132
271,April - M041998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",3.7,9.3,NA,146
117,April - M041998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,8.3,NA,202
118,April - M041998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.1,NA,224
34,April - M041998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.4,5.2,NA,275
35,April - M041998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",3.6,15.1,NA,451
119,May - M051998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,7.4,NA,172
117,May - M051998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,9.7,NA,268
118,May - M051998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,7,NA,276
268,May - M051998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",3.4,12.4,NA,188
271,May - M051998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",3.6,12,NA,203
34,May - M051998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.6,5.3,NA,83
35,May - M051998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",5,17.1,NA,156
119,June - M061998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,7.2,NA,156
117,June - M061998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,10.5,NA,225
118,June - M061998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.6,NA,262
268,June - M061998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",2.9,11.7,NA,173
271,June - M061998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",3.1,12.3,NA,223
35,June - M061998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",3.5,12.7,NA,162
34,June - M061998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.5,4.9,NA,81
117,July - M071998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,7.9,NA,130
118,July - M071998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.4,NA,152
34,July - M071998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.4,4.4,NA,63
35,July - M071998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",4,14.3,NA,91
268,August - M081998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",3.1,10.7,NA,96
271,August - M081998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",3.4,10.6,NA,145
34,August - M081998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.2,4,NA,56
35,August - M081998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",3.5,12.4,NA,95
119,August - M081998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6,NA,92
132,August - M081998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,6.6,NA,154
117,August - M081998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.4,NA,62
118,August - M081998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,5.8,NA,84
117,September - M091998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.4,NA,197
118,September - M091998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,5.9,NA,189
268,September - M091998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",2.7,11.4,NA,88
271,September - M091998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",3,8.9,NA,131
34,September - M091998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.4,3.9,NA,7
35,September - M091998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",4.2,13.4,NA,10
119,September - M091998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,8.6,NA,83
132,September - M091998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",1.4,12.8,NA,133
132,October - M101998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,10.5,NA,226
34,October - M101998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,3.6,12.7,NA,69
35,October - M101998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",1.6,4.7,NA,25
119,October - M101998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,10.1,NA,97
117,October - M101998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,7.1,NA,271
118,October - M101998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,5.7,NA,208
268,October - M101998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",2.9,10.5,NA,94
271,October - M101998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",3.3,9.8,NA,163
268,November - M111998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",1.6,11,NA,105
271,November - M111998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",1.9,10.7,NA,214
34,November - M111998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.6,4.7,NA,37
35,November - M111998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",3.6,12.8,NA,71
119,November - M111998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,10.3,NA,127
132,November - M111998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,15.4,NA,348
117,November - M111998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.7,NA,214
118,November - M111998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,5.3,NA,268
268,December - M121998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.5,9.3,NA,169
271,December - M121998,Himachal Pradesh,Damtal,Himachal Pradesh State Environment Proection & Pollution Control Board,"Residential, Rural and other Areas",0.4,10.6,NA,237
117,December - M121998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,6.8,NA,224
118,December - M121998,Himachal Pradesh,Paonta Sahib,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,5.8,NA,333
34,December - M121998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,Sensitive,1.8,3.5,NA,28
35,December - M121998,Himachal Pradesh,Shimla,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",3.3,8.7,NA,90
119,December - M121998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,Industrial Area,NA,10.8,NA,174
132,December - M121998,Himachal Pradesh,Parwanoo,Himachal Pradesh  Pollution Control Boar,"Residential, Rural and other Areas",NA,12.2,NA,483
