Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/1/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,6.1,17.9,NA,673
1/2/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.5,16.3,NA,386
1/3/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.6,18.5,NA,485
1/4/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.8,18.5,NA,578
1/5/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.7,16.7,NA,485
1/6/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.5,17.3,NA,470
1/8/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.3,16.1,NA,854
1/9/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.4,17.7,NA,656
1/10/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,5.2,16.6,NA,712
1/11/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.9,16.8,NA,804
1/12/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,11.6,NA,953
13-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,13.5,NA,495
15-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3,15.2,NA,830
16-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.1,14.2,NA,889
17-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,12,NA,422
18-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.4,11.6,NA,564
19-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.6,13.6,NA,976
20-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.5,16.5,NA,499
22-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.2,13.4,NA,543
23-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3,14.1,NA,620
24-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,10.6,NA,646
25-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.6,11.8,NA,416
27-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.7,13.6,NA,584
29-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,5.5,19.3,NA,743
31-01-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.2,15,NA,292
2/1/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.9,15.2,NA,471
2/2/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.3,16.3,NA,708
2/3/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,12.5,NA,767
2/5/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.1,13.4,NA,648
2/6/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.1,13.7,NA,410
2/7/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,10,NA,453
2/8/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,12,NA,517
2/9/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,9.6,NA,441
2/10/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,NA,NA,NA
13-02-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,NA,NA,203
14-02-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,10.8,NA,262
15-02-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,13.3,NA,595
16-02-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,13.2,NA,701
20-02-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.6,13.9,NA,319
21-02-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.4,12.4,NA,443
22-02-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,12.8,NA,434
23-02-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,10.2,NA,561
24-02-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,11.5,NA,674
26-02-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.6,13.9,NA,759
27-02-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,NA,NA,515
3/1/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,8.2,NA,261
3/2/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,11.1,NA,362
3/3/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3,13.2,NA,394
3/5/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.4,13.3,NA,216
3/6/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.9,15.8,NA,373
3/7/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.9,15.4,NA,404
3/8/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.2,17.2,NA,344
3/9/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.8,12.2,NA,647
3/10/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.9,15.5,NA,268
3/12/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,NA,NA,NA
13-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,NA,NA,NA
14-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,11,NA,267
15-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.7,12.5,NA,182
16-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.7,26.5,NA,210
17-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,6.1,25.8,NA,228
19-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,16.9,NA,511
20-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,18.1,NA,642
21-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.5,15.1,NA,589
22-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.7,15.1,NA,381
23-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.9,15.2,NA,481
24-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.8,16,NA,416
26-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,5.4,18.4,NA,407
27-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,5.3,20.7,NA,465
28-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.4,8.3,NA,724
29-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.8,12.9,NA,511
30-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.6,16.5,NA,709
31-03-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.6,17,NA,773
4/2/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.1,12.4,NA,673
4/3/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,12,NA,412
4/4/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.7,14.9,NA,493
4/5/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.4,13.9,NA,657
4/6/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.5,14,NA,777
4/7/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.2,13.7,NA,668
4/9/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,13.5,NA,633
4/10/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.3,21.9,NA,859
4/11/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.4,17.9,NA,594
4/12/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.4,15.3,NA,727
13-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,11.7,NA,557
14-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,14.1,NA,641
16-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,12.2,NA,875
17-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.8,14.4,NA,870
18-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,NA,NA,NA
19-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,13.3,NA,749
20-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.4,14.1,NA,422
21-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.7,13.1,NA,513
23-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4,15.5,NA,555
24-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,4.2,7.7,NA,440
25-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.1,13.4,NA,413
26-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,11.1,NA,429
27-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,11.7,NA,463
28-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.1,12.6,NA,597
30-04-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,12.6,NA,1106
5/1/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,12,NA,945
5/2/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,9.1,NA,487
5/3/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.6,15.2,NA,312
5/4/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.4,11.7,NA,964
5/5/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,12.4,NA,866
5/7/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,11.1,NA,671
5/8/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,10,NA,618
5/9/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.6,10.1,NA,813
5/10/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,12.5,NA,364
5/11/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.6,9.4,NA,958
5/12/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,5.3,10.7,NA,538
14-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,11.3,NA,508
15-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,12.4,NA,622
16-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,13.2,NA,353
17-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,13.8,NA,475
18-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,12,NA,421
19-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,11.2,NA,390
21-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.6,11.7,NA,465
22-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,10.6,NA,389
23-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.4,11.9,NA,375
24-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,12.4,NA,437
25-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,11.5,NA,558
26-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,NA,NA,591
28-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,12.3,NA,445
29-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.7,15.7,NA,301
30-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,12.2,NA,289
31-05-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,11.3,NA,463
6/1/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,13.1,NA,328
6/2/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3,13.1,NA,432
6/4/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.3,13.8,NA,247
6/5/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.4,13.4,NA,343
6/6/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.1,14.6,NA,408
6/7/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.4,11.2,NA,371
6/8/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,12.2,NA,419
6/9/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.1,13.7,NA,438
6/11/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,NA,NA,768
6/12/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.4,12.2,NA,339
13-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,NA,NA,236
14-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,9.9,NA,193
16-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,NA,NA,NA
18-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.4,12.1,NA,172
19-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.9,14.2,NA,232
20-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,12.1,NA,264
21-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.4,14.8,NA,226
22-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,10.9,NA,238
23-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,3.1,13,NA,200
25-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,11.6,NA,245
26-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,11.2,NA,170
27-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,11.7,NA,255
28-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,9.7,NA,180
29-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,11,NA,176
30-06-07,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,12.4,NA,188
7/2/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,9.1,NA,144
7/3/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,NA,8.1,NA,123
7/4/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.9,12.4,NA,152
7/5/2007,Himachal Pradesh,Baddi,Industry Department,Industrial Areas,2.5,9.2,NA,148
