Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
449,1/3/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,13,126,NA
449,1/5/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,17,111,NA
449,1/7/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,18,132,NA
449,1/10/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,124,NA
449,1/12/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,12,109,NA
449,17/01/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,14,98,NA
449,19/01/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,13,105,NA
449,24/01/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,99,NA
449,28/01/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,11,116,NA
449,31/01/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,109,NA
449,2/2/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,13,120,NA
449,2/4/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,114,NA
449,2/7/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,2,15,125,NA
449,2/9/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,1,10,104,NA
449,2/11/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,1,13,90,NA
449,14/02/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,11,119,NA
449,16/02/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,7,89,NA
449,18/02/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,13,82,NA
449,21/02/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,14,95,NA
449,23/02/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,11,88,NA
449,25/02/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,85,NA
449,28/02/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,114,NA
449,3/2/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,11,103,NA
449,3/4/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,9,91,NA
449,3/7/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,1,12,94,NA
449,3/9/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,11,78,NA
449,3/11/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,11,72,NA
449,14/03/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,7,81,NA
449,16/03/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,70,NA
449,18/03/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,93,NA
449,23/03/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,1,7,92,NA
449,25/03/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,1,9,86,NA
449,28/03/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,1,8,95,NA
449,30/03/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,118,NA
449,4/1/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,9,129,NA
449,4/4/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,12,103,NA
449,4/6/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,12,91,NA
449,4/8/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,12,113,NA
449,4/11/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,13,103,NA
449,13/04/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,9,98,NA
449,15/04/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,8,107,NA
449,18/04/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,7,109,NA
449,20/04/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,1,10,106,NA
449,22/04/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,9,84,NA
449,25/04/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,100,NA
449,27/04/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,92,NA
449,29/04/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,90,NA
449,5/2/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,106,NA
449,5/4/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,6,126,NA
449,5/6/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,9,109,NA
449,5/9/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,83,NA
449,5/11/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,1,9,103,NA
449,13/05/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,1,10,101,NA
449,16/05/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,101,NA
449,18/05/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,1,10,117,NA
449,20/05/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,8,116,NA
449,23/05/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,9,97,NA
449,25/05/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,11,102,NA
449,30/05/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,10,97,NA
449,6/1/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,8,59,85,NA
449,6/3/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,4,37,90,NA
449,6/6/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,4,22,88,NA
449,6/8/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,2,6,99,NA
449,6/10/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,5,12,67,NA
449,13/06/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,2,26,94,NA
449,15/06/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,1,11,81,NA
449,17/06/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,3,22,74,NA
449,20/06/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,3,11,88,NA
449,22/06/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,3,19,76,NA
449,24/06/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,4,25,53,NA
449,27/06/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,3,29,87,NA
449,29/06/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,3,5,67,NA
449,7/1/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,4,9,76,NA
449,7/4/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,4,8,52,NA
449,7/6/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,NA,56,NA
449,7/8/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,1,24,56,NA
449,7/11/2011,Himachal Pradesh,Baddi,"Industry Department Office Building, Baddi",Himachal Pradesh State Environment Proection & Pollution Control Board,Industrial Area,NA,12,43,NA
