Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
6/1/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,15.9,14.1,124,247
6/2/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,13.7,19.1,141,284
6/8/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,18.6,17,126,265
6/9/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,18.4,13.2,124,265
15/6/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,14,17.3,125,279
16/6/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,16.4,11.5,171,320
22/6/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,16.5,16.2,152,307
23/6/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,19.5,11.4,124,238
29/6/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,18.2,14.2,129,270
30/6/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,18.3,14.8,155,302
7/6/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,13.7,13.6,112,221
7/7/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,13.4,12.9,127,257
14/7/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,18.1,8.5,102,192
20/7/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,13.9,8.6,128,201
27/7/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,14.1,11.4,126,239
28/7/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,7.9,7.6,126,239
8/3/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,10.2,11.5,118,200
8/4/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,5.6,10.9,81,127
8/10/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,13.5,12.1,79,169
8/11/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,11.8,12.4,114,202
17/8/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,17.5,14.3,122,238
18/8/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,15.5,15.3,61,98
24/8/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,14,14.9,110,146
25/8/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,9.3,7,69,189
31/8/2009,Jammu & Kashmir,Jammu,B. Brahamana I. Area,Industrial Areas,16.4,12.5,143,201
