"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
184,02-05-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",11,4,110,NA
184,02-06-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",9,4,91,NA
184,02-12-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",17,2,147,NA
184,13-02-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",20,2,130,NA
184,19-02-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",15,3,127,NA
184,20-02-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",16,3,137,NA
184,26-02-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",10,3,111,NA
184,04-02-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,12,117,NA
184,04-03-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,11,110,NA
184,04-09-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,12,129,NA
184,04-10-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,16,126,NA
184,16-04-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,12,118,NA
184,17-04-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,12,90,NA
184,23-04-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,17,131,NA
184,24-04-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,10,133,NA
184,30-04-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,11,152,NA
184,05-07-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,17,99,NA
184,05-08-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,12,80,NA
184,15-05-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,7,125,NA
184,21-05-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,13,124,NA
184,22-05-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,13,132,NA
184,28-05-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,13,108,NA
184,29-05-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,8,116,NA
184,06-04-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",6,8,142,NA
184,06-05-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",7,9,83,NA
184,06-11-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,15,83,NA
184,18-06-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,13,79,NA
184,19-06-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,10,91,NA
184,25-06-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,12,129,NA
184,26-06-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,14,135,NA
184,07-02-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,10,103,NA
184,07-03-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,13,117,NA
184,07-09-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,12,131,NA
184,07-10-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,14,146,NA
184,16-07-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,13,123,NA
184,17-07-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,14,116,NA
184,23-07-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,15,110,NA
184,24-07-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,13,NA,NA
184,08-06-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",5,12,147,NA
184,08-07-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",5,12,155,NA
184,13-08-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,9,143,NA
184,14-08-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",6,13,160,NA
184,20-08-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",5,12,194,NA
184,21-08-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",5,12,156,NA
184,27-08-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,12,188,NA
184,28-08-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",5,12,189,NA
184,10-01-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,16,103,NA
184,10-08-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,12,104,NA
184,10-09-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,8,121,NA
184,15-10-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,12,98,NA
184,16-10-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,8,105,NA
184,21-10-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,13,103,NA
184,22-10-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,14,103,NA
184,23-10-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",5,21,152,NA
184,24-10-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,14,84,NA
184,25-10-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,13,59,NA
184,29-10-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,13,92,NA
184,30-10-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,11,98,NA
184,12-03-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,14,107,NA
184,12-04-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,15,122,NA
184,12-10-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,14,130,NA
184,12-11-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,15,127,NA
184,17-12-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,13,136,NA
184,18-12-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,14,126,NA
184,24-12-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,16,159,NA
184,31-12-14,Jammu & Kashmir,Jammu,"Regional Office, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,17,142,NA
482,02-01-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",15,4,134,NA
482,02-07-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",23,4,152,NA
482,02-08-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",21,5,132,NA
482,21-02-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",18,3,129,NA
482,22-02-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",17,4,149,NA
482,28-02-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",16,2,149,NA
482,04-04-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,12,114,NA
482,04-05-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,13,126,NA
482,04-11-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,12,104,NA
482,04-12-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,12,111,NA
482,19-04-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,14,115,NA
482,25-04-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,13,133,NA
482,26-04-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,13,129,NA
482,05-02-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,14,85,NA
482,05-03-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,11,118,NA
482,05-09-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,15,121,NA
482,05-10-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,11,96,NA
482,16-05-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,12,93,NA
482,17-05-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",2,12,106,NA
482,23-05-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",3,12,135,NA
482,24-05-14,Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",Jammu & Kashmir State Pollution Control Board,"Residential, Rural and other Areas",4,14,107,NA
