Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/3/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,18.2,39.9,261,309
1/9/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,22.8,55,128,163
1/12/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,17.8,42.8,189,265
16/1/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,13.1,35,200,240
19/1/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,NA,NA,233,326
21/1/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,16.4,38.9,241,312
24/2/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,14.4,36,133,207
27/2/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,21.3,51.4,268,352
3/3/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,15.9,35.8,239,354
3/5/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,19.3,42.5,482,561
16/3/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,19,38.7,437,495
18/3/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,16.7,33.5,379,425
23/3/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,32.7,83.3,186,236
25/3/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,15.6,38.6,274,360
28/3/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,15.2,34.1,217,276
30/3/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,16.8,42.1,222,271
20/4/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,20,46.9,230,278
24/4/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,22.4,52.9,197,281
27/4/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,18.2,45.8,186,236
18/6/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,NA,NA,5,68
8/2/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,14,30.1,58,83
21/8/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,NA,NA,61,128
26/8/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,13.3,NA,33,63
28/8/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,11.5,26.7,76,115
9/2/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,14,30.6,58,83
9/4/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,14.5,37,100,130
9/7/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,13.3,34.1,44,63
9/11/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,NA,NA,NA,NA
14/9/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,16.7,44.1,50,81
22/9/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,13.9,30.5,98,142
29/9/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,18.9,44.8,162,202
10/3/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,14.6,39.5,129,165
10/5/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,NA,NA,100,141
10/7/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,13.5,30.6,72,104
10/10/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,13.9,29.4,100,135
10/12/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,16,40.9,206,256
14/10/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,18.4,47,75,104
27/10/2009,Jharkhand,Dhanbad,Regional Office,Residential and others,15.5,45.7,92,126
1/2/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,38.5,53.1,181,389
1/6/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,37.4,47.1,178,394
1/10/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,39,52.5,189,398
13/1/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.9,51.3,167,383
16/1/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,39.4,53.1,170,405
20/1/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.8,49.9,165,382
22/1/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,32.7,47.8,185,408
28/1/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,38.9,52.6,171,370
30/1/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,39,51.8,172,378
2/3/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,33.5,50,168,360
2/6/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,39.4,51.4,166,358
2/10/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,38.2,48,159,359
13/2/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,33.8,49.7,196,429
17/2/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.6,50.5,165,359
20/2/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,34.7,52.3,191,408
24/2/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,33.6,45.3,198,425
27/2/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,38.5,48.2,190,405
3/3/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.8,50.7,190,396
3/6/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,38,51.1,172,377
3/9/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,33.1,46.8,189,391
14/3/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.5,48.3,174,368
17/3/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,34.3,46.9,173,366
20/3/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,32.6,47.3,185,390
24/3/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,38.5,52.2,193,405
27/3/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.9,46.5,194,411
4/2/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.6,48.3,194,404
4/6/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,40.1,50.9,177,369
4/9/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.5,51.4,173,359
13/4/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.3,48.4,178,374
16/4/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.7,48.2,176,377
20/4/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.1,49.7,180,388
22/4/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.5,51.9,209,449
27/4/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,43.2,52.9,206,439
29/4/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,34.3,52.7,210,448
5/4/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,40.3,47.2,192,410
5/7/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,37.8,53.2,183,396
5/11/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,37.8,53.9,171,368
14/5/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,34.6,43.3,178,375
18/5/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,40.2,50.4,187,395
21/5/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,37.3,48.8,183,381
25/5/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.6,43.3,162,348
28/5/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.9,50,178,373
6/1/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,37.3,50.5,181,384
6/3/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.5,50.8,181,382
6/8/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,39.4,51.5,169,372
6/11/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.7,49.8,183,382
15/6/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,39.1,50.5,174,366
18/6/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.3,49.6,170,361
22/6/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,38.8,52.6,197,415
25/6/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.8,47.7,180,380
29/6/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.9,51.1,192,402
7/2/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.4,49.8,183,385
7/4/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.4,52.1,174,363
7/6/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,37.9,54.4,172,356
7/9/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,32.4,49.3,166,350
13/7/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,38.1,49.1,145,354
16/7/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,39.9,46.1,181,383
20/7/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.4,47.8,167,372
23/7/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,34.5,45.9,155,323
27/7/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,31.3,43.1,155,326
30/7/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,34.7,49,161,339
8/3/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,32.7,44,153,334
8/4/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,34.6,48.4,146,310
8/6/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,30.9,44.8,165,348
8/10/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,38.2,48.5,158,332
8/12/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,33.2,44.9,159,344
17/8/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,34.1,45.9,168,353
21/8/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,33.8,45.3,165,346
24/8/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,33.8,46.4,161,338
27/8/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.2,49.9,159,340
9/2/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,38.8,50.4,162,346
9/4/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,33.8,46.2,166,345
9/7/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,33.7,49.3,160,334
9/10/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,39.1,51.3,167,341
14/9/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,37.8,51.3,165,347
16/9/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,37.8,49,170,350
22/9/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,34.7,49.9,170,349
24/9/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.4,47.6,165,340
30/9/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,34.8,49.6,167,340
10/3/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.8,49.1,161,346
10/6/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36,52.1,184,379
10/9/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,37.5,50.8,173,358
13/10/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.3,48.8,176,362
15/10/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,38.2,49,178,368
22/10/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,37.2,46.9,174,363
27/10/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.1,47.8,176,363
30/10/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,37.3,47.6,168,349
11/3/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.7,50.5,174,363
11/6/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.3,49.4,173,370
11/9/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35,46.1,194,403
14/11/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.8,52.3,146,302
16/11/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.7,49.2,155,274
19/11/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,33.1,45.4,167,345
23/11/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.6,50.6,171,350
26/11/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,37.1,50.1,155,265
12/1/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,38.6,51.8,169,353
12/4/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.5,53.8,168,343
12/7/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.5,46.3,166,347
12/10/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,35.8,48.5,163,337
14/12/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,40.3,54.1,155,315
17/12/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,36.7,50.8,171,351
21/12/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,37.7,49.6,149,311
24/12/2009,Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial Areas,39.7,50.6,160,336
1/5/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,37.2,50.9,178,391
1/9/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,37.1,49.6,183,406
1/12/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,34.7,45.9,151,370
15/1/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,34.9,47,171,405
19/1/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,37.9,51.4,176,393
21/1/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,36.7,48.8,178,395
27/1/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,36.2,49.9,177,394
29/1/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,36.5,45,159,356
2/4/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,36.6,46.2,169,377
2/11/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,32.1,46.4,190,404
14/2/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,36.8,48.7,159,357
18/2/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,37.1,48.5,172,367
21/2/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35.4,45.3,176,374
25/2/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35,49.8,170,360
27/2/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35.5,46.6,179,380
3/4/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,34.1,44.2,165,352
3/7/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35.2,49.7,152,331
13/3/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35.8,50,171,370
16/3/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,34.2,50.8,176,366
19/3/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,37.3,49.7,188,395
23/3/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35.1,51.2,183,382
26/3/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35,45.9,183,383
30/3/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,36.3,53.6,194,411
4/4/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,38.2,48.9,175,364
4/8/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,36.5,49.9,175,369
4/11/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,37,51.9,180,364
14/4/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,37.6,89.9,167,366
17/4/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35.3,47.2,162,351
21/4/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,34.8,47.5,174,367
24/4/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35.8,51.7,195,418
28/4/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,38.6,50.1,204,435
30/4/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,40.9,57,206,434
5/5/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,42.7,50.8,186,394
5/8/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,38.9,51.6,166,376
5/12/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35.5,48.1,182,378
15/5/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,32.8,48.5,176,377
19/5/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,36.3,51.3,188,391
22/5/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,38.5,49.9,188,393
26/5/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,32.2,46.4,201,429
29/5/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,36,53.2,166,353
6/2/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,38.4,49.9,189,399
6/6/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,33.5,50.5,174,374
6/9/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35.8,49.2,177,374
6/12/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35.4,51.3,171,366
16/6/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35.4,51.1,171,366
19/6/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,40.2,53.8,160,354
23/6/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,37.9,49.4,168,353
26/6/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,32.3,45.9,193,403
7/2/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,36.5,49.8,183,385
7/4/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,36.3,52.1,174,363
7/6/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,37.9,54.5,172,356
7/7/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,34.3,46.5,157,351
7/10/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35.6,47.8,160,336
14/7/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,35.4,46.8,191,399
17/7/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,36.9,48.5,162,343
21/7/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,38.2,48.5,162,348
24/7/2009,Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial Areas,34.2,48,156,329
