Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/5/2005,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,6.3,44,116,193
1/7/2005,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,6.8,41.9,58,120
1/11/2005,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,6.5,36.6,176,241
15-01-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,8.1,51.2,115,169
18-01-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,7,39.5,120,193
23-01-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,7,37.7,86,190
31-01-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,7.7,41.8,108,171
2/7/2005,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,8.5,48.5,64,160
2/10/2005,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,8.4,72.1,96,200
14-02-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,6.5,57.7,110,254
18-02-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,6.5,64.7,65,166
21-02-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,7.2,56.3,76,142
23-02-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,8.1,64.5,95,235
28-02-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,6.4,52.5,73,220
3/1/2005,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,7.9,66.9,101,228
3/4/2005,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,8.4,53,65,155
3/9/2005,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,7.1,56.2,63,155
14-03-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,7.4,56.9,73,160
17-03-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,7.4,57.8,78,171
18-03-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,7.2,59.5,114,202
23-03-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,8.1,61.5,56,144
28-03-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,8.4,57.5,97,228
31-03-05,Karnataka,Bangalore,AMCO Batteries,Industrial Areas,9.7,57,51,168
