Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
185,January - M011998,Kerala,Kozhikode,Kerala Pollution Control Board,NA,2.6,4.2,NA,66
186,January - M011998,Kerala,Kozhikode,Kerala Pollution Control Board,NA,3.8,4.4,NA,65
187,January - M011998,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",2.3,21.6,NA,38
188,January - M011998,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,1.3,24.9,NA,42
180,January - M011998,Kerala,Trivendrum,Kerala Pollution Control Board,NA,27.2,23.4,NA,188
181,January - M011998,Kerala,Trivendrum,Kerala Pollution Control Board,NA,10.5,23.2,NA,127
182,January - M011998,Kerala,Trivendrum,Kerala Pollution Control Board,NA,7.1,23,NA,131
29,January - M011998,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,0.5,5.3,NA,32
30,January - M011998,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.9,0.5,NA,396
105,January - M011998,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,1.6,1.2,NA,40
149,January - M011998,Kerala,Cochin,NA,Industrial Area,8.8,13,NA,148
147,January - M011998,Kerala,Cochin,NA,"Residential, Rural and other Areas",7.4,21.4,NA,182
148,January - M011998,Kerala,Cochin,NA,"Residential, Rural and other Areas",6.3,12.9,NA,140
185,February - M021998,Kerala,Kozhikode,Kerala Pollution Control Board,NA,4.4,5.1,NA,66
186,February - M021998,Kerala,Kozhikode,Kerala Pollution Control Board,NA,3.2,4.1,NA,62
187,February - M021998,Kerala,Kotttayam,Kerala Pollution Control Board,"Residential, Rural and other Areas",1.6,26.7,NA,46
188,February - M021998,Kerala,Kottayam,Kerala Pollution Control Board,Industrial Area,2.6,32.3,NA,87
180,February - M021998,Kerala,Trivendrum,Kerala Pollution Control Board,NA,27.5,22.9,NA,195
181,February - M021998,Kerala,Trivendrum,Kerala Pollution Control Board,NA,10.4,23.3,NA,131
182,February - M021998,Kerala,Trivendrum,Kerala Pollution Control Board,NA,7.5,22.8,NA,132
29,February - M021998,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,0.5,3.5,NA,65
30,February - M021998,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,2.4,0.5,NA,509
105,February - M021998,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.4,1.1,NA,57
149,February - M021998,Kerala,Cochin,NA,Industrial Area,10.5,8.6,NA,110
148,February - M021998,Kerala,Cochin,NA,"Residential, Rural and other Areas",7.1,10.1,NA,141
180,March - M031998,Kerala,Trivendrum,Kerala Pollution Control Board,NA,28.8,23.9,NA,219
