Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/1/2007,Kerala,Kochi,Eloor,Industrial Areas,3.5,9.3,117,152
1/4/2007,Kerala,Kochi,Eloor,Industrial Areas,11,9.3,76,105
1/8/2007,Kerala,Kochi,Eloor,Industrial Areas,NA,9.4,70,85
1/11/2007,Kerala,Kochi,Eloor,Industrial Areas,57.8,7.3,132,172
15-01-07,Kerala,Kochi,Eloor,Industrial Areas,10.6,12.8,92,135
18-01-07,Kerala,Kochi,Eloor,Industrial Areas,18.1,12.2,73,123
22-01-07,Kerala,Kochi,Eloor,Industrial Areas,15.1,12.7,14,29
25-01-07,Kerala,Kochi,Eloor,Industrial Areas,14.7,12.2,145,183
29-01-07,Kerala,Kochi,Eloor,Industrial Areas,NA,9.4,91,122
2/1/2007,Kerala,Kochi,Eloor,Industrial Areas,19.9,12.1,61,93
2/5/2007,Kerala,Kochi,Eloor,Industrial Areas,74.1,27.9,51,75
2/8/2007,Kerala,Kochi,Eloor,Industrial Areas,24.4,5.8,79,133
2/12/2007,Kerala,Kochi,Eloor,Industrial Areas,13.4,NA,68,94
15-02-07,Kerala,Kochi,Eloor,Industrial Areas,93.8,7.3,66,100
19-02-07,Kerala,Kochi,Eloor,Industrial Areas,26.6,23.4,63,102
22-02-07,Kerala,Kochi,Eloor,Industrial Areas,12.8,7.7,51,79
26-02-07,Kerala,Kochi,Eloor,Industrial Areas,16.6,15.3,21,58
3/1/2007,Kerala,Kochi,Eloor,Industrial Areas,4.8,5.2,92,146
3/5/2007,Kerala,Kochi,Eloor,Industrial Areas,48.4,8.1,43,93
3/8/2007,Kerala,Kochi,Eloor,Industrial Areas,14.7,11.6,63,120
3/12/2007,Kerala,Kochi,Eloor,Industrial Areas,39.6,18.8,96,167
15-03-07,Kerala,Kochi,Eloor,Industrial Areas,10.2,12.9,86,124
19-03-07,Kerala,Kochi,Eloor,Industrial Areas,41.8,6.5,35,71
22-03-07,Kerala,Kochi,Eloor,Industrial Areas,25.9,13.2,78,128
26-03-07,Kerala,Kochi,Eloor,Industrial Areas,33.2,9.3,45,92
29-03-07,Kerala,Kochi,Eloor,Industrial Areas,23.7,9.2,40,85
4/2/2007,Kerala,Kochi,Eloor,Industrial Areas,NA,NA,49,83
4/5/2007,Kerala,Kochi,Eloor,Industrial Areas,10.3,NA,102,157
4/9/2007,Kerala,Kochi,Eloor,Industrial Areas,25.4,7.1,69,103
4/12/2007,Kerala,Kochi,Eloor,Industrial Areas,13.7,NA,48,97
16-04-07,Kerala,Kochi,Eloor,Industrial Areas,6.1,NA,43,106
19-04-07,Kerala,Kochi,Eloor,Industrial Areas,3.7,9.2,57,103
23-04-07,Kerala,Kochi,Eloor,Industrial Areas,NA,6.8,42,88
26-04-07,Kerala,Kochi,Eloor,Industrial Areas,8.2,6.9,38,86
30-04-07,Kerala,Kochi,Eloor,Industrial Areas,12.3,NA,29,66
5/3/2007,Kerala,Kochi,Eloor,Industrial Areas,6,5.4,32,77
5/7/2007,Kerala,Kochi,Eloor,Industrial Areas,8.6,7.1,35,73
5/10/2007,Kerala,Kochi,Eloor,Industrial Areas,4.6,5.4,41,90
14-05-07,Kerala,Kochi,Eloor,Industrial Areas,NA,6.6,29,120
17-05-07,Kerala,Kochi,Eloor,Industrial Areas,9.3,11.7,46,84
21-05-07,Kerala,Kochi,Eloor,Industrial Areas,6.3,7,24,63
24-05-07,Kerala,Kochi,Eloor,Industrial Areas,5.7,7.2,26,68
28-05-07,Kerala,Kochi,Eloor,Industrial Areas,8.1,7.1,46,88
31-05-07,Kerala,Kochi,Eloor,Industrial Areas,4.6,5.4,24,55
6/4/2007,Kerala,Kochi,Eloor,Industrial Areas,38.5,14.6,24,59
6/7/2007,Kerala,Kochi,Eloor,Industrial Areas,21,13.8,32,63
6/11/2007,Kerala,Kochi,Eloor,Industrial Areas,14.4,NA,24,59
14-06-07,Kerala,Kochi,Eloor,Industrial Areas,54.5,12,56,77
18-06-07,Kerala,Kochi,Eloor,Industrial Areas,53.8,10.8,33,60
20-06-07,Kerala,Kochi,Eloor,Industrial Areas,24.2,14.2,43,74
22-06-07,Kerala,Kochi,Eloor,Industrial Areas,26.7,15.7,43,75
25-06-07,Kerala,Kochi,Eloor,Industrial Areas,35.7,10.7,39,66
28-06-07,Kerala,Kochi,Eloor,Industrial Areas,53.5,14.6,49,73
7/2/2007,Kerala,Kochi,Eloor,Industrial Areas,6,NA,26,53
7/5/2007,Kerala,Kochi,Eloor,Industrial Areas,7.8,12,29,59
7/9/2007,Kerala,Kochi,Eloor,Industrial Areas,NA,7.4,37,60
7/12/2007,Kerala,Kochi,Eloor,Industrial Areas,16.5,9.4,36,74
16-07-07,Kerala,Kochi,Eloor,Industrial Areas,5.5,10.8,39,66
19-07-07,Kerala,Kochi,Eloor,Industrial Areas,33.4,6.2,34,79
23-07-07,Kerala,Kochi,Eloor,Industrial Areas,9.1,12.8,40,79
26-07-07,Kerala,Kochi,Eloor,Industrial Areas,5.2,12.1,46,85
30-07-07,Kerala,Kochi,Eloor,Industrial Areas,5.3,7.4,38,75
8/2/2007,Kerala,Kochi,Eloor,Industrial Areas,4.1,6.9,32,58
8/6/2007,Kerala,Kochi,Eloor,Industrial Areas,3.5,6.9,30,59
8/9/2007,Kerala,Kochi,Eloor,Industrial Areas,3.9,5.3,28,57
13-08-07,Kerala,Kochi,Eloor,Industrial Areas,9.8,NA,31,52
16-08-07,Kerala,Kochi,Eloor,Industrial Areas,19.8,NA,29,60
20-08-07,Kerala,Kochi,Eloor,Industrial Areas,14.5,NA,35,67
23-08-07,Kerala,Kochi,Eloor,Industrial Areas,4.1,5.6,35,67
27-08-07,Kerala,Kochi,Eloor,Industrial Areas,10.1,NA,37,76
31-08-07,Kerala,Kochi,Eloor,Industrial Areas,5.7,7.5,38,74
9/3/2007,Kerala,Kochi,Eloor,Industrial Areas,14.7,NA,22,42
9/6/2007,Kerala,Kochi,Eloor,Industrial Areas,12.9,9.9,35,66
9/10/2007,Kerala,Kochi,Eloor,Industrial Areas,17.9,8.8,23,46
13-09-07,Kerala,Kochi,Eloor,Industrial Areas,10.2,9.3,22,47
17-09-07,Kerala,Kochi,Eloor,Industrial Areas,7.4,8.8,31,65
21-09-07,Kerala,Kochi,Eloor,Industrial Areas,8.4,NA,28,53
24-09-07,Kerala,Kochi,Eloor,Industrial Areas,12.8,NA,30,50
26-09-07,Kerala,Kochi,Eloor,Industrial Areas,3.9,NA,33,65
28-09-07,Kerala,Kochi,Eloor,Industrial Areas,17.9,8.8,36,73
10/1/2007,Kerala,Kochi,Eloor,Industrial Areas,9.4,NA,30,59
10/4/2007,Kerala,Kochi,Eloor,Industrial Areas,5.4,9.9,24,39
10/8/2007,Kerala,Kochi,Eloor,Industrial Areas,16.9,5.3,46,69
10/11/2007,Kerala,Kochi,Eloor,Industrial Areas,4.7,7.8,43,59
15-10-07,Kerala,Kochi,Eloor,Industrial Areas,10.1,7.9,45,67
18-10-07,Kerala,Kochi,Eloor,Industrial Areas,NA,10.2,50,81
22-10-07,Kerala,Kochi,Eloor,Industrial Areas,7.7,NA,60,69
25-10-07,Kerala,Kochi,Eloor,Industrial Areas,9.1,7,40,71
29-10-07,Kerala,Kochi,Eloor,Industrial Areas,NA,7.1,53,74
11/1/2007,Kerala,Kochi,Eloor,Industrial Areas,NA,8.5,34,54
11/5/2007,Kerala,Kochi,Eloor,Industrial Areas,2.8,14,27,43
11/8/2007,Kerala,Kochi,Eloor,Industrial Areas,NA,9.3,43,57
11/12/2007,Kerala,Kochi,Eloor,Industrial Areas,NA,9.3,46,59
15-11-07,Kerala,Kochi,Eloor,Industrial Areas,NA,12.1,71,93
19-11-07,Kerala,Kochi,Eloor,Industrial Areas,8.3,10.5,49,85
22-11-07,Kerala,Kochi,Eloor,Industrial Areas,5.2,NA,54,73
26-11-07,Kerala,Kochi,Eloor,Industrial Areas,6.3,6.3,66,103
29-11-07,Kerala,Kochi,Eloor,Industrial Areas,4.1,8.9,37,55
