Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
82,1/2/2003,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,1/6/2003,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,1/9/2003,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,13-01-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,16-01-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,20-01-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,23-01-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,27-01-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,30-01-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,2/3/2003,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,2/6/2003,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,2/10/2003,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,13-02-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,17-02-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,20-02-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,24-02-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,27-02-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,3/3/2003,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,3/6/2003,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,3/10/2003,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,13-03-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,17-03-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,20-03-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,24-03-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,27-03-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,31-03-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,4/3/2003,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,4/7/2003,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,4/10/2003,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,17-04-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,21-04-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,24-04-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
82,28-04-03,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,Industrial Area,0,0,0,0
