Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/1/2005,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,6.3,13.5,61,204
1/3/2005,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,5.4,11.9,67,204
1/8/2005,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,6.3,12.7,69,220
1/10/2005,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,5.7,12.6,68,200
15-01-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,5.8,12.9,67,204
17-01-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,5.9,12.7,69,210
22-01-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,5.9,14.5,71,214
24-01-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,6.6,13.7,72,220
29-01-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,6.3,12.6,72,222
31-01-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,4.7,11.4,68,208
2/5/2005,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,6.2,13,67,225
2/7/2005,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,6.2,13,73,237
2/12/2005,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,5.7,12.6,69,213
14-02-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,5.9,11.9,66,206
19-02-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,6.4,13.5,66,212
21-02-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,5.9,12.1,67,212
26-02-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,6.1,12.1,65,190
28-02-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,5.9,11.8,71,222
3/5/2005,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,6,11.7,69,201
3/7/2005,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,5.7,14.6,77,238
3/12/2005,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,6.4,13.1,83,215
14-03-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,6.1,12.1,61,192
19-03-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,5.9,11.9,64,209
21-03-05,Madhya Pradesh,Bhopal,Govindpura,Industrial Areas,5.9,12.2,65,198
