Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
122,1/4/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,13,207,NA
122,1/6/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,13,113,NA
122,1/11/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",3,9,718,NA
122,13/01/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,14,181,NA
122,18/01/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9,17,113,NA
122,20/01/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,21,229,NA
122,25/01/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,24,212,NA
122,27/01/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,21,117,NA
122,2/1/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,18,146,NA
122,2/3/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,17,161,NA
122,2/8/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,16,324,NA
122,2/10/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",11,25,229,NA
122,15/02/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7,15,333,NA
122,17/02/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6,14,146,NA
122,22/02/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",11,28,386,NA
122,24/02/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",8,18,173,NA
122,3/1/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10,25,592,NA
122,3/3/2011,Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",12,28,198,NA
