Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
168,January_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",60.8,36.7,NA,298
168,February_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",23.8,27.8,NA,238
168,March_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",12.2,28.4,NA,218
168,April_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",11,15.3,NA,247
168,May_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",8.8,11.4,NA,164
168,June_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",17.4,8.6,NA,214
168,July_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",12.6,11.3,NA,282
168,August_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",14,10.7,NA,218
168,September_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",27.2,14.3,NA,173
168,October_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",47.4,22.4,NA,227
168,November_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",19.6,54.6,NA,264
168,December_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",49.6,32.6,NA,333
168,Annual_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",25.4,22.6,NA,238
169,January_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",57.8,30.6,NA,211
169,February_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",33.2,35.1,NA,305
169,March_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",17.1,37.6,NA,149
169,April_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",10.2,64.1,NA,373
169,May_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",7.4,44.8,NA,188
169,June_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",9.4,14.1,NA,138
169,July_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",20,18.7,NA,195
169,August_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",9.1,10,NA,188
169,September_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",40.8,48.3,NA,301
169,October_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",69.1,54.1,NA,159
169,November_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",18.1,58.4,NA,252
169,December_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",25.3,62.7,NA,284
169,Annual_1995,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",26.3,40.2,NA,228
170,January_1995,Maharashtra,Bombay,NA,Industrial Area,58.4,30.5,NA,281
170,February_1995,Maharashtra,Bombay,NA,Industrial Area,59.6,43.9,NA,311
170,March_1995,Maharashtra,Bombay,NA,Industrial Area,26.8,21.6,NA,253
170,April_1995,Maharashtra,Bombay,NA,Industrial Area,30.5,53.6,NA,295
170,May_1995,Maharashtra,Bombay,NA,Industrial Area,27,27.3,NA,264
170,June_1995,Maharashtra,Bombay,NA,Industrial Area,41.4,13.6,NA,175
170,July_1995,Maharashtra,Bombay,NA,Industrial Area,39.5,21.9,NA,237
170,August_1995,Maharashtra,Bombay,NA,Industrial Area,38.3,12.5,NA,216
170,September_1995,Maharashtra,Bombay,NA,Industrial Area,44.4,20.9,NA,177
170,October_1995,Maharashtra,Bombay,NA,Industrial Area,52.6,59.8,NA,320
170,November_1995,Maharashtra,Bombay,NA,Industrial Area,27.7,86.1,NA,323
170,December_1995,Maharashtra,Bombay,NA,Industrial Area,53,47.5,NA,401
170,Annual_1995,Maharashtra,Bombay,NA,Industrial Area,41.8,36.1,NA,271
265,January_1995,Maharashtra,Dombivli,Maharashtra State Pollution Control Board,Industrial Area,NA,NA,NA,NA
265,June_1995,Maharashtra,Dombivli,Maharashtra State Pollution Control Board,Industrial Area,44.4,15.5,NA,111
265,July_1995,Maharashtra,Dombivli,Maharashtra State Pollution Control Board,Industrial Area,24,16.2,NA,71
265,August_1995,Maharashtra,Dombivli,Maharashtra State Pollution Control Board,Industrial Area,44.4,21.1,NA,367
265,September_1995,Maharashtra,Dombivli,Maharashtra State Pollution Control Board,Industrial Area,40.8,42.9,NA,75
265,October_1995,Maharashtra,Dombivli,Maharashtra State Pollution Control Board,Industrial Area,16,54,NA,198
265,November_1995,Maharashtra,Dombivli,Maharashtra State Pollution Control Board,Industrial Area,27.7,43.1,NA,283
265,December_1995,Maharashtra,Dombivli,Maharashtra State Pollution Control Board,Industrial Area,27.9,37.6,NA,219
265,Annual_1995,Maharashtra,Dombivli,Maharashtra State Pollution Control Board,Industrial Area,32.6,32.8,NA,192
266,January_1995,Maharashtra,Dombivli,MAPB,NA,NA,NA,NA,NA
266,June_1995,Maharashtra,Dombivli,MAPB,NA,69.5,55.3,NA,80
266,July_1995,Maharashtra,Dombivli,MAPB,NA,19.3,37,NA,77
266,August_1995,Maharashtra,Dombivli,MAPB,NA,34.5,18.1,NA,57
266,September_1995,Maharashtra,Dombivli,MAPB,NA,23.3,46,NA,129
266,October_1995,Maharashtra,Dombivli,MAPB,NA,31.2,66.4,NA,150
266,November_1995,Maharashtra,Dombivli,MAPB,NA,31.7,39.6,NA,132
266,December_1995,Maharashtra,Dombivli,MAPB,NA,34.1,34,NA,192
266,Annual_1995,Maharashtra,Dombivli,MAPB,NA,29.3,39.4,NA,120
165,January_1995,Maharashtra,Nagpur,NA,Industrial Area,6,13.7,NA,235
165,May_1995,Maharashtra,Nagpur,NA,Industrial Area,6,5.5,NA,124
165,June_1995,Maharashtra,Nagpur,NA,Industrial Area,6,5.6,NA,303
165,July_1995,Maharashtra,Nagpur,NA,Industrial Area,6,3,NA,66
165,August_1995,Maharashtra,Nagpur,NA,Industrial Area,6,6.8,NA,NA
165,September_1995,Maharashtra,Nagpur,NA,Industrial Area,6,6.4,NA,94
165,October_1995,Maharashtra,Nagpur,NA,Industrial Area,6,13.2,NA,152
165,November_1995,Maharashtra,Nagpur,NA,Industrial Area,6,15.5,NA,151
165,December_1995,Maharashtra,Nagpur,NA,Industrial Area,5.8,18.3,NA,206
165,Annual_1995,Maharashtra,Nagpur,NA,Industrial Area,6,11.5,NA,178
166,January_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,25.4,NA,341
166,February_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,15.6,NA,284
166,March_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,21.1,NA,297
166,April_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,11.1,NA,154
166,May_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,6.4,NA,195
166,June_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,6.2,NA,142
166,July_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,22.2,NA,219
166,August_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,12.9,NA,116
166,September_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,8.7,NA,164
166,October_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,10.4,NA,207
166,November_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,13.3,NA,216
166,December_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,18.4,NA,256
166,Annual_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,14.5,NA,224
167,January_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,26.1,NA,243
167,February_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,15.5,NA,204
167,March_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,19.7,NA,146
167,April_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,8.9,NA,170
167,May_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,9.4,NA,113
167,June_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,8.6,NA,158
167,July_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,9.4,NA,60
167,August_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,12.1,NA,85
167,September_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,6.5,NA,90
167,October_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,12.7,NA,142
167,November_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,18.3,NA,154
167,December_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,25.7,NA,210
167,Annual_1995,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,14.9,NA,143
287,January_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",12.9,20.4,NA,226
287,February_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",13,18.6,NA,210
287,March_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",9.1,14.3,NA,217
287,April_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",11.6,17.2,NA,256
287,May_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",8.7,7.4,NA,147
287,June_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",9.6,10.3,NA,158
287,July_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",5.8,9.2,NA,81
287,August_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",9.1,17.5,NA,188
287,September_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",9.5,16.3,NA,180
287,October_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",5.2,21.3,NA,121
287,November_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",6.5,13.7,NA,223
287,December_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",6.1,15.1,NA,314
287,Annual_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,"Residential, Rural and other Areas",8.9,14.2,NA,193
288,January_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,Industrial Area,20.9,23.8,NA,152
288,February_1995,Maharashtra,Nagpur,Visveshwaraya National Institute Of Technology,Industrial Area,11,11.9,NA,151
