Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
6/1/2007,Manipur,Imphal,Secretariat Building,Residential and others,4.4,19.7,67,134
6/4/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,20.1,68,138
6/7/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.5,62,127
6/11/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,20.5,59,118
18-06-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,22.3,52,98
22-06-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,22.8,59,121
25-06-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,20.4,63,129
27-06-07,Manipur,Imphal,Secretariat Building,Residential and others,4,21.9,65,130
29-06-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,20.2,51,102
7/2/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,18.8,48,97
7/5/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.8,44,88
14-07-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.6,54,107
19-07-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,18.2,51,103
23-07-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.9,57,117
27-07-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.5,37,83
31-07-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,20,53,114
8/1/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.7,51,103
8/4/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,21.3,54,108
8/7/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,23,60,120
8/10/2007,Manipur,Imphal,Secretariat Building,Residential and others,4.4,22.7,33,120
13-08-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,21,67,130
18-08-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.8,55,111
21-08-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,21.2,58,116
24-08-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,22.6,50,101
28-08-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,14.9,47,89
30-08-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,20.3,51,101
9/1/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,21.3,54,114
9/4/2007,Manipur,Imphal,Secretariat Building,Residential and others,5,19.2,42,90
9/7/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,12.7,41,81
9/10/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,11.6,40,80
13-09-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,13.8,39,78
17-09-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,17,52,104
24-09-07,Manipur,Imphal,Secretariat Building,Residential and others,4.8,19.9,52,105
27-09-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.7,51,102
10/3/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,15.9,62,101
10/6/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,8,61,101
18-10-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,15.8,46,101
23-10-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,16.2,49,103
27-10-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,18,52,98
30-10-07,Manipur,Imphal,Secretariat Building,Residential and others,NA,18.1,44,98
11/2/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,12,37,86
11/5/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.2,44,88
11/7/2007,Manipur,Imphal,Secretariat Building,Residential and others,NA,25.8,104,204
13-11-07,Manipur,Imphal,Secretariat Building,Residential and others,4,18,103,216
20-11-07,Manipur,Imphal,Secretariat Building,Residential and others,2.6,22.1,94,206
24-11-07,Manipur,Imphal,Secretariat Building,Residential and others,3.2,24,111,223
26-11-07,Manipur,Imphal,Secretariat Building,Residential and others,3.2,24.7,97,206
30-11-07,Manipur,Imphal,Secretariat Building,Residential and others,2.5,26.5,97,216
12/3/2007,Manipur,Imphal,Secretariat Building,Residential and others,3.4,28.1,103,240
12/6/2007,Manipur,Imphal,Secretariat Building,Residential and others,3.2,31.7,93,182
12/10/2007,Manipur,Imphal,Secretariat Building,Residential and others,3.4,28.8,96,186
14-12-07,Manipur,Imphal,Secretariat Building,Residential and others,3.1,28,105,169
17-12-07,Manipur,Imphal,Secretariat Building,Residential and others,3.3,28.3,114,218
22-12-07,Manipur,Imphal,Secretariat Building,Residential and others,2.8,26.8,114,204
26-12-07,Manipur,Imphal,Secretariat Building,Residential and others,2.4,26.8,109,193
29-12-07,Manipur,Imphal,Secretariat Building,Residential and others,3.5,22.4,100,192
