Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/3/2008,Manipur,Imphal,Secretariat Building,Residential and others,NA,22.8,92,621
18/1/2008,Manipur,Imphal,Secretariat Building,Residential and others,NA,20.1,117,232
21/1/2008,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.7,62,184
31/1/2008,Manipur,Imphal,Secretariat Building,Residential and others,NA,18.7,64,134
2/5/2008,Manipur,Imphal,Secretariat Building,Residential and others,NA,22.3,78,283
2/12/2008,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.4,102,562
15/2/2008,Manipur,Imphal,Secretariat Building,Residential and others,NA,22.8,59,121
20/2/2008,Manipur,Imphal,Secretariat Building,Residential and others,NA,18.5,61,101
3/4/2008,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.4,60,511
3/7/2008,Manipur,Imphal,Secretariat Building,Residential and others,NA,37.7,72,126
18/3/2008,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.5,77,129
27/3/2008,Manipur,Imphal,Secretariat Building,Residential and others,NA,19.5,81,120
4/3/2008,Manipur,Imphal,Secretariat Building,Residential and others,4.8,14.9,105,217
4/5/2008,Manipur,Imphal,Secretariat Building,Residential and others,5.9,13.5,88,217
4/7/2008,Manipur,Imphal,Secretariat Building,Residential and others,3.8,15.5,84,209
4/9/2008,Manipur,Imphal,Secretariat Building,Residential and others,5.8,14.7,105,218
4/11/2008,Manipur,Imphal,Secretariat Building,Residential and others,4.4,15.7,103,218
13/4/2008,Manipur,Imphal,Secretariat Building,Residential and others,5.4,14,115,208
5/9/2008,Manipur,Imphal,Secretariat Building,Residential and others,NA,20.4,34,110
5/12/2008,Manipur,Imphal,Secretariat Building,Residential and others,4.2,14,125,247
