Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
120,January_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
120,February_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
120,March_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
120,April_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
120,May_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
120,June_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
120,July_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
120,August_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
120,September_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
120,October_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
120,November_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
120,December_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
120,Annual_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
121,January_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
121,February_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
121,March_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
121,April_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
121,May_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
121,June_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
121,July_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
121,August_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
121,September_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
121,October_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
121,November_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
121,December_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
121,Annual_1995,Meghalaya,Shillong,MEPB,NA,NA,NA,NA,NA
