Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/4/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,48,67
1/9/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,57,71
1/11/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,50,71
15-01-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,69,76
17-01-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,6.3,59,69
23-01-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,8,54,62
30-01-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,65,70
2/1/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,66,80
2/5/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,67,75
2/8/2007,Meghalaya,Shillong,Boards Office,Residential and others,3.1,7.8,63,76
2/12/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,65,75
15-02-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,56,64
20-02-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,5.3,59,70
22-02-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,68,78
27-02-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,10.6,69,81
3/1/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,53,58
3/5/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,56,63
3/8/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,54,64
13-03-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,54,60
20-03-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,52,59
22-03-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,53,63
27-03-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,56,64
30-03-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,60,67
4/3/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,52,64
4/5/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,59,68
4/9/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,64,73
4/12/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,57,68
16-04-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,55,64
19-04-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,64,75
24-04-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,53,59
26-04-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,44,50
5/1/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,48,51
5/3/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,45,55
5/10/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,65,74
15-05-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,68,75
22-05-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,44,50
24-05-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,46,54
29-05-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,57,66
7/4/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,41,46
7/8/2007,Meghalaya,Shillong,Boards Office,Residential and others,2.9,NA,64,71
7/10/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,55,63
16-07-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,45,50
19-07-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,39,45
24-07-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,38,43
26-07-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,47,54
30-07-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,47,54
8/1/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,44,49
8/3/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,44,49
8/6/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,48,54
8/9/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,54,60
13-08-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,44,48
16-08-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,50,55
23-08-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,51,55
28-08-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,49,54
9/6/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,NA,NA
9/11/2007,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,36,41
13-09-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,53,58
17-09-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,49,54
20-09-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,50,56
25-09-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,44,49
27-09-07,Meghalaya,Shillong,Boards Office,Residential and others,NA,NA,NA,NA
