Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
568,1/3/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,26,18,163,NA
568,1/4/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,25,18,156,NA
568,1/8/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,32,19,150,NA
568,1/9/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,42,21,155,NA
568,15-01-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,30,17,130,NA
568,16-01-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,26,14,120,NA
568,21-01-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,28,25,171,NA
568,22-01-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,23,16,140,NA
568,29-01-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,31,28,145,NA
568,30-01-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,26,16,156,NA
568,2/5/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,26,14,144,NA
568,2/6/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,25,14,144,NA
568,2/12/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,25,13,145,NA
568,13-02-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,25,13,148,NA
568,19-02-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,25,13,139,NA
568,20-02-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,23,14,133,NA
568,26-02-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,25,14,135,NA
568,27-02-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,27,15,134,NA
568,3/6/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,19,15,129,NA
568,3/7/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,23,19,131,NA
568,3/12/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,21,16,129,NA
568,13-03-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,19,15,129,NA
568,19-03-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,20,16,141,NA
568,20-03-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,21,16,132,NA
568,26-03-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,20,18,119,NA
568,27-03-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,20,17,116,NA
568,4/2/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,19,16,126,NA
568,4/3/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,17,14,127,NA
568,4/9/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,18,15,157,NA
568,4/10/2013,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,17,15,123,NA
568,16-04-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,15,11,146,NA
568,17-04-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,18,16,127,NA
568,23-04-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,16,14,164,NA
568,24-04-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,18,15,146,NA
568,30-04-13,Meghalaya,Byrnihat,"Export Promotion Industrial Park (EPIP). Byrnihat,Ri-Bhoi dist Meghalaya",Meghalaya State Pollution Control Board,Industrial Area,16,14,105,NA
