Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/9/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,5.4,15.8,84,145
1/12/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,3.9,14.1,78,203
16/01/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,3.3,15.3,100,290
19/01/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.5,14.7,80,201
23/01/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.7,15.2,119,236
27/01/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.1,18.9,103,211
30/01/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,5,17.7,47,123
2/2/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.6,15,112,197
2/6/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,3.5,12.8,113,202
2/9/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4,13.4,82,186
13/02/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.2,12.3,81,179
16/02/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.7,13.2,74,163
21/02/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.2,15.6,55,154
27/02/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.4,15.2,94,144
3/2/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,5.3,16.8,46,117
3/6/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.4,16.6,76,171
3/8/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,3.5,18.1,102,182
13/03/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.8,15.6,87,176
16/03/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,5.4,16.9,74,144
20/03/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,3.5,14.8,83,153
23/03/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.6,13.9,106,212
27/03/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.1,12.5,86,164
30/03/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.9,16.1,120,200
4/3/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.3,16.6,69,164
4/6/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.1,20,75,170
4/10/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.7,17,63,129
17/04/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.6,15.1,71,151
20/04/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.6,20,26,68
24/04/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,3.6,17.5,60,125
27/04/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.9,15.7,39,118
5/2/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,3.4,21.4,99,149
5/4/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,3.6,14.1,43,126
5/9/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,2.6,6.4,58,158
5/11/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,9.3,59,161
16/05/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,19.1,33,133
18/05/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,12.9,35,79
23/05/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,17,52,154
25/05/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,NA,11,28
6/1/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,11.4,32,86
6/6/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,14.4,34,100
6/8/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,5.9,54,135
16/06/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,8.7,28,68
20/06/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,8.3,32,78
22/06/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,5.9,15,38
27/06/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,NA,23,67
29/06/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,6.7,30,83
7/4/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,NA,36,94
7/7/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,NA,33,84
7/11/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,7.3,13,59
13/07/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,16.5,34,105
18/07/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4.6,11.9,46,145
20/07/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,7.8,44,293
25/07/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,12.9,38,211
27/07/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,7.3,47,94
8/1/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,23.6,25,111
8/3/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,9.6,47,149
8/8/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,17.1,78,209
8/10/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,7.3,70,186
17/08/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,10.5,39,150
22/08/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,14.1,71,138
24/08/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,10.4,42,112
29/08/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,8.3,37,112
9/1/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,NA,21,72
9/7/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,NA,26,165
9/12/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,8.4,62,214
14/09/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,6.9,26,97
19/09/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,8.4,47,202
21/09/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,NA,22,74
26/09/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,NA,23,89
28/09/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,NA,29,127
10/3/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,NA,31,70
10/5/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,5.3,28,67
10/10/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,6.2,27,72
10/12/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,6,33,91
17/10/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,7,27,76
19/10/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,9,39,90
23/10/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,7.6,29,58
26/10/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,9.9,22,54
11/1/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,11.9,25,62
11/2/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,NA,40,104
11/7/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,8,51,122
11/9/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,10.8,39,98
14/11/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,6.6,39,89
16/11/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,8.7,23,67
22/11/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,11.7,38,85
24/11/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,8.8,37,86
12/1/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,5.6,52,114
12/5/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,7.3,24,56
12/7/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,8.1,24,56
12/12/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,6.9,28,64
14/12/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,7,28,58
18/12/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,11.5,27,59
20/12/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,NA,NA,32,79
31/12/2006,Mizoram,Aizawl,Bawngkawn,Residential and others,4,24.5,87,200
1/9/2006,Mizoram,Aizawl,Khatla,Residential and others,2.6,13.9,33,83
1/12/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,11.6,41,82
16/01/2006,Mizoram,Aizawl,Khatla,Residential and others,3.5,13.7,126,276
19/01/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,13,59,139
23/01/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,13.2,55,157
27/01/2006,Mizoram,Aizawl,Khatla,Residential and others,3.5,13.7,40,90
30/01/2006,Mizoram,Aizawl,Khatla,Residential and others,3.2,17.1,52,162
2/2/2006,Mizoram,Aizawl,Khatla,Residential and others,2.4,12.6,43,127
2/6/2006,Mizoram,Aizawl,Khatla,Residential and others,2.3,11.9,73,154
2/9/2006,Mizoram,Aizawl,Khatla,Residential and others,3,15.3,58,204
13/02/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,10.6,90,129
16/02/2006,Mizoram,Aizawl,Khatla,Residential and others,2.5,13.5,53,150
21/02/2006,Mizoram,Aizawl,Khatla,Residential and others,2.6,13.4,68,157
27/02/2006,Mizoram,Aizawl,Khatla,Residential and others,2.6,15.6,53,124
3/2/2006,Mizoram,Aizawl,Khatla,Residential and others,4.3,16.8,61,86
3/6/2006,Mizoram,Aizawl,Khatla,Residential and others,3,16,58,128
3/8/2006,Mizoram,Aizawl,Khatla,Residential and others,3.8,18.4,62,153
13/03/2006,Mizoram,Aizawl,Khatla,Residential and others,2.9,16.6,89,164
16/03/2006,Mizoram,Aizawl,Khatla,Residential and others,3.4,15.2,90,177
20/03/2006,Mizoram,Aizawl,Khatla,Residential and others,4.2,16.3,68,169
23/03/2006,Mizoram,Aizawl,Khatla,Residential and others,3.8,16.8,77,144
27/03/2006,Mizoram,Aizawl,Khatla,Residential and others,3.3,16.4,61,131
30/03/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,15.4,45,126
4/6/2006,Mizoram,Aizawl,Khatla,Residential and others,2.4,13.7,50,123
4/10/2006,Mizoram,Aizawl,Khatla,Residential and others,3.1,15.5,32,103
17/04/2006,Mizoram,Aizawl,Khatla,Residential and others,3.1,16.6,46,126
20/04/2006,Mizoram,Aizawl,Khatla,Residential and others,2.4,14.3,31,84
24/04/2006,Mizoram,Aizawl,Khatla,Residential and others,2.4,15.5,76,150
27/04/2006,Mizoram,Aizawl,Khatla,Residential and others,3.5,14.8,34,119
5/2/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,14.9,32,87
5/4/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,13.3,32,78
5/9/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,8.1,31,126
5/11/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,11.3,28,119
16/05/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,17.8,49,147
18/05/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,11.6,38,116
23/05/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,16.8,23,113
25/05/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,10.6,23,81
6/1/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,11.3,23,69
6/6/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,9.4,18,70
6/8/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,41,101
16/06/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,6.6,29,58
20/06/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,5.9,25,60
22/06/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,10.1,28,69
27/06/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,6.3,22,52
29/06/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,6.3,27,61
7/4/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,7.5,20,57
7/7/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,31,87
7/11/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,19,50
13/07/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,8.3,38,76
18/07/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,5.5,25,99
20/07/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,7.6,19,94
25/07/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,5.7,43,84
27/07/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,6.7,26,86
8/1/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,8.8,34,82
8/3/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,25,46
8/8/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,14.3,35,83
8/10/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,6.9,29,67
17/08/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,6.9,45,79
22/08/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,24,71
24/08/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,7.2,23,66
29/08/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,5.5,24,62
9/1/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,20,53
9/7/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,40,124
9/12/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,6,37,101
14/09/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,20,48
19/09/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,8.3,18,48
21/09/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,22,62
26/09/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,23,45
28/09/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,22,52
10/3/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,5.3,21,56
10/5/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,9.1,31,64
10/10/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,5.4,22,55
10/12/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,6,24,59
17/10/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,7.6,22,53
19/10/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,9.9,27,62
23/10/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,10,21,49
26/10/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,10.1,19,44
11/1/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,10.7,21,51
11/2/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,37,73
11/7/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,7.2,34,71
11/9/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,10.7,20,46
14/11/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,6.2,26,61
16/11/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,7.6,21,46
22/11/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,6,30,68
24/11/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,6.6,30,70
12/1/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,5.9,25,59
12/5/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,5.9,19,45
12/7/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,21,53
12/12/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,25,64
14/12/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,24,56
18/12/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,6.2,16,36
20/12/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,NA,25,61
31/12/2006,Mizoram,Aizawl,Khatla,Residential and others,NA,24,69,122
1/9/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,2.3,6.2,14,56
1/12/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,5.3,32,54
16/01/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,3.1,5.3,45,126
19/01/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,5.3,49,99
23/01/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,6,36,70
27/01/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,3.5,NA,40,82
30/01/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,3.8,6.3,37,83
2/2/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,NA,64,146
2/6/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,5.4,36,78
2/9/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,NA,26,71
13/02/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,5.3,43,91
16/02/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,NA,49,142
21/02/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,NA,59,98
27/02/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,NA,60,126
3/2/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,2.3,5.4,36,136
3/6/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,2.4,5.3,57,123
3/8/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,NA,64,132
13/03/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,5.3,77,148
16/03/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,5.3,60,141
20/03/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,2.5,5.5,91,185
23/03/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,3.1,6.1,43,106
27/03/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,3.3,6.2,43,110
30/03/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,5.3,90,187
4/3/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,NA,6.1,92,168
4/6/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,2.4,5.3,39,135
4/10/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,2.4,5.3,36,85
17/04/2006,Mizoram,Aizawl,Laipuitlang,Residential and others,2.4,5.3,25,80
