Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
450,1/1/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,44,NA
450,1/4/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,37,NA
450,1/6/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,37,NA
450,1/11/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,33,NA
450,13/01/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,34,NA
450,18/01/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,30,NA
450,20/01/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,36,NA
450,25/01/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,33,NA
450,27/01/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,29,NA
450,2/1/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,35,NA
450,2/3/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,33,NA
450,2/8/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,33,NA
450,2/10/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,37,NA
450,15/02/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,22,NA
450,17/02/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,25,NA
450,22/02/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,30,NA
450,24/02/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,38,NA
450,3/1/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,49,NA
450,3/3/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,8,46,NA
450,3/8/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,51,NA
450,3/10/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,42,NA
450,15/03/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,8,50,NA
450,17/03/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,48,NA
450,22/03/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,51,NA
450,24/03/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,53,NA
450,29/03/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,38,NA
450,4/1/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,39,NA
450,4/5/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,40,NA
450,4/7/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,40,NA
450,4/12/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,43,NA
450,14/04/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,45,NA
450,19/04/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,44,NA
450,21/04/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,45,NA
450,26/04/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,36,NA
450,28/04/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,31,NA
450,6/2/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,42,NA
450,6/7/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,32,NA
450,6/9/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,37,NA
450,14/06/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,38,NA
450,16/06/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,40,NA
450,21/06/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,40,NA
450,23/06/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,41,NA
450,28/06/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,32,NA
450,30/06/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,33,NA
450,7/5/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,33,NA
450,7/7/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,47,NA
450,7/12/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,NA,31,NA
450,14/07/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,38,NA
450,19/07/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,34,NA
450,21/07/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,35,NA
450,26/07/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,42,NA
450,28/07/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,41,NA
450,8/2/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,47,NA
450,8/4/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,39,NA
450,8/9/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,28,NA
450,8/11/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,46,NA
450,16/08/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,47,NA
450,18/08/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,40,NA
450,23/08/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,36,NA
450,25/08/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,43,NA
450,30/08/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,44,NA
450,9/1/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,41,NA
450,9/6/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,43,NA
450,9/8/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,41,NA
450,14/09/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,51,NA
450,16/09/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,34,NA
450,20/09/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,36,NA
450,22/09/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,35,NA
450,27/09/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,47,NA
450,29/09/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,43,NA
450,10/4/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,46,NA
450,10/6/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,47,NA
450,10/11/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,44,NA
450,13/10/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,46,NA
450,18/10/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,47,NA
450,20/10/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,38,NA
450,25/10/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,46,NA
450,27/10/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,42,NA
450,11/8/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,42,NA
450,11/10/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,48,NA
450,15/11/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,33,NA
450,17/11/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,42,NA
450,22/11/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,45,NA
450,24/11/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,46,NA
450,29/11/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,32,NA
450,12/1/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,50,NA
450,12/6/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,44,NA
450,12/8/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,50,NA
450,13/12/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,43,NA
450,15/12/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,48,NA
450,20/12/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,46,NA
450,22/12/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,47,NA
450,29/12/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,7,47,NA
450,31/12/2011,Mizoram,Aizawl,"Khatla, M.G-Road, Roof  Top of  Mizoram SPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,6,49,NA
451,1/1/2011,Mizoram,Aizawl,"Laipuitlang, Residence of  Er. Dunglena, Chairman, MPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,29,NA
451,1/4/2011,Mizoram,Aizawl,"Laipuitlang, Residence of  Er. Dunglena, Chairman, MPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,32,NA
451,1/6/2011,Mizoram,Aizawl,"Laipuitlang, Residence of  Er. Dunglena, Chairman, MPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,29,NA
451,1/11/2011,Mizoram,Aizawl,"Laipuitlang, Residence of  Er. Dunglena, Chairman, MPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,27,NA
451,13/01/2011,Mizoram,Aizawl,"Laipuitlang, Residence of  Er. Dunglena, Chairman, MPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,27,NA
451,18/01/2011,Mizoram,Aizawl,"Laipuitlang, Residence of  Er. Dunglena, Chairman, MPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,26,NA
451,20/01/2011,Mizoram,Aizawl,"Laipuitlang, Residence of  Er. Dunglena, Chairman, MPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,30,NA
451,25/01/2011,Mizoram,Aizawl,"Laipuitlang, Residence of  Er. Dunglena, Chairman, MPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,26,NA
451,27/01/2011,Mizoram,Aizawl,"Laipuitlang, Residence of  Er. Dunglena, Chairman, MPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,28,NA
451,2/1/2011,Mizoram,Aizawl,"Laipuitlang, Residence of  Er. Dunglena, Chairman, MPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,25,NA
451,2/3/2011,Mizoram,Aizawl,"Laipuitlang, Residence of  Er. Dunglena, Chairman, MPCB",Mizoram State Pollution Control Board,"Residential, Rural and other Areas",2,5,25,NA
